Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Valdes-Souto,1,DE-ABE,4,2.8331761360168457,50
Valdes-Souto,1,DE-ABE,5,2.8331761360168457,60
Valdes-Souto,1,DE-ABE,6,2.8331761360168457,70
Valdes-Souto,1,DE-ABE,7,2.8331761360168457,80
Valdes-Souto,1,DE-ABE,8,2.8331761360168457,90
Valdes-Souto,1,DE-ABE,9,2.8331761360168457,100
Valdes-Souto,1,DE-ABE,10,2.8331761360168457,110
Valdes-Souto,1,DE-ABE,11,2.8331761360168457,120
Valdes-Souto,1,DE-ABE,12,2.8331761360168457,130
Valdes-Souto,1,DE-ABE,13,2.8331761360168457,140
Valdes-Souto,1,DE-ABE,14,2.8331761360168457,150
Valdes-Souto,1,DE-ABE,15,2.8331761360168457,160
Valdes-Souto,1,DE-ABE,16,2.8331761360168457,170
Valdes-Souto,1,DE-ABE,17,2.8331761360168457,180
Valdes-Souto,1,DE-ABE,18,2.8331761360168457,190
Valdes-Souto,1,DE-ABE,19,2.8331761360168457,200
Valdes-Souto,1,DE-ABE,20,2.8331761360168457,210
Valdes-Souto,1,DE-ABE,21,2.8331761360168457,220
Valdes-Souto,1,DE-ABE,22,2.8331761360168457,230
Valdes-Souto,1,DE-ABE,23,2.8331761360168457,240
Valdes-Souto,1,DE-ABE,24,2.8331761360168457,250
Valdes-Souto,1,DE-ABE,25,2.8331761360168457,260
Valdes-Souto,1,DE-ABE,26,2.8331761360168457,270
Valdes-Souto,1,DE-ABE,27,2.8331761360168457,280
Valdes-Souto,1,DE-ABE,28,2.8331761360168457,290
Valdes-Souto,1,DE-ABE,29,2.8331761360168457,300
Valdes-Souto,1,DE-ABE,30,2.8331761360168457,310
Valdes-Souto,1,DE-ABE,31,2.8331761360168457,320
Valdes-Souto,1,DE-ABE,32,2.8331761360168457,330
Valdes-Souto,1,DE-ABE,33,2.8331761360168457,340
Valdes-Souto,1,DE-ABE,34,2.8331761360168457,350
Valdes-Souto,1,DE-ABE,35,2.8331761360168457,360
Valdes-Souto,1,DE-ABE,36,2.8331761360168457,370
Valdes-Souto,1,DE-ABE,37,2.8331761360168457,380
Valdes-Souto,1,DE-ABE,38,2.8331761360168457,390
Valdes-Souto,1,DE-ABE,39,2.8331761360168457,400
Valdes-Souto,1,DE-ABE,40,2.8331761360168457,410
Valdes-Souto,1,DE-ABE,41,2.8331761360168457,420
Valdes-Souto,1,DE-ABE,42,2.8331761360168457,430
Valdes-Souto,1,DE-ABE,43,2.8331761360168457,440
Valdes-Souto,1,DE-ABE,44,2.8331761360168457,450
Valdes-Souto,1,DE-ABE,45,2.8331761360168457,460
Valdes-Souto,1,DE-ABE,46,2.8331761360168457,470
Valdes-Souto,1,DE-ABE,47,2.8331761360168457,480
Valdes-Souto,1,DE-ABE,48,2.8331761360168457,490
Valdes-Souto,1,DE-ABE,49,2.8331761360168457,500
Valdes-Souto,1,DE-ABE,50,2.8331761360168457,510
Valdes-Souto,1,DE-ABE,51,2.8331761360168457,520
Valdes-Souto,1,DE-ABE,52,2.8331761360168457,530
Valdes-Souto,1,DE-ABE,53,2.8331761360168457,540
Valdes-Souto,1,DE-ABE,54,2.8331761360168457,550
Valdes-Souto,1,DE-ABE,55,2.8331761360168457,560
Valdes-Souto,1,DE-ABE,56,2.8331761360168457,570
Valdes-Souto,1,DE-ABE,57,2.8331761360168457,580
Valdes-Souto,1,DE-ABE,58,2.8331761360168457,590
Valdes-Souto,1,DE-ABE,59,2.8331761360168457,600
Valdes-Souto,1,DE-ABE,60,2.8331761360168457,610
Valdes-Souto,1,DE-ABE,61,2.8331761360168457,620
Valdes-Souto,1,DE-ABE,62,2.8331761360168457,630
Valdes-Souto,1,DE-ABE,63,2.8331761360168457,640
Valdes-Souto,1,DE-ABE,64,2.8331761360168457,650
Valdes-Souto,1,DE-ABE,65,2.8331761360168457,660
Valdes-Souto,1,DE-ABE,66,2.8331761360168457,670
Valdes-Souto,1,DE-ABE,67,2.8331761360168457,680
