Dataset,Fold,Variant,Training_MMRE,AFP,Input,Output,Enquiry,File,Interface,Added,Changed,Deleted,Resource,Duration,AdjFactor
China,1,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,1,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,1,FAABE_NO_PEARSON,1.139102578163147,0.0,0.027952564880251884,0.03916217386722565,0.026938166469335556,0.08000750839710236,0.18280069530010223,0.15686215460300446,0.04643638804554939,0.16928380727767944,0.23192979395389557,0.038626778870821,0.0
China,1,FAABE_NO_IWM,1.143610954284668,0.037925876677036285,0.10590358078479767,0.2107253521680832,0.09579858183860779,0.0639091432094574,0.140039324760437,0.15907999873161316,,,,0.056032925844192505,0.13058526813983917
China,1,FAABE_FULL,1.1578092575073242,0.153043732047081,0.0,0.23100970685482025,0.07312989234924316,0.05583710968494415,0.17873142659664154,0.08909520506858826,,,,0.07277578115463257,0.14637717604637146
China,2,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,2,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,2,FAABE_NO_PEARSON,1.180120587348938,0.08152773231267929,0.0,0.0,0.10217779129743576,0.0,0.17598414421081543,0.07212524861097336,0.2018359750509262,0.2247224748134613,0.0,0.10245101153850555,0.03917564079165459
China,2,FAABE_NO_IWM,1.1944435834884644,0.0,0.17122097313404083,0.06312475353479385,0.02862202376127243,0.15078406035900116,0.1953381448984146,0.01331350114196539,,,,0.05238565057516098,0.3252108693122864
China,2,FAABE_FULL,1.2157162427902222,0.0,0.10367807000875473,0.10075713694095612,0.05991530790925026,0.11395879089832306,0.03271905332803726,0.4494251012802124,,,,0.04670692980289459,0.09283963590860367
China,3,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,3,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,3,FAABE_NO_PEARSON,1.1897305250167847,0.009776615537703037,0.1372610181570053,0.0,0.020385412499308586,0.18839392066001892,0.0,0.15916314721107483,0.27400872111320496,0.02181987464427948,0.0,0.10514373332262039,0.08404752612113953
China,3,FAABE_NO_IWM,1.2097793817520142,0.15088382363319397,0.03859470784664154,0.08153889328241348,0.04601985588669777,0.23091718554496765,0.1928303837776184,0.016680439934134483,,,,0.12887875735759735,0.11365598440170288
China,3,FAABE_FULL,1.2115581035614014,0.08370324224233627,0.05249827355146408,0.0,0.08022081106901169,0.12079712003469467,0.2717967927455902,0.057442717254161835,,,,0.24617423117160797,0.08736687153577805
China,4,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,4,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,4,FAABE_NO_PEARSON,1.1590038537979126,0.039575982838869095,0.02939322032034397,0.02611747570335865,0.0089037474244833,0.0668775886297226,0.09884512424468994,0.054368212819099426,0.0,0.31671422719955444,0.0,0.09540724009275436,0.26379725337028503
China,4,FAABE_NO_IWM,1.1197012662887573,0.0,0.10714877396821976,0.04426394775509834,0.03527544066309929,0.045733705163002014,0.13268040120601654,0.1567276120185852,,,,0.06946010887622833,0.4087100327014923
China,4,FAABE_FULL,1.1079490184783936,0.07159006595611572,0.05397332087159157,0.05512848496437073,0.01802344061434269,0.12744992971420288,0.22713519632816315,0.0,,,,0.07605747133493423,0.37064212560653687
China,5,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,5,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,5,FAABE_NO_PEARSON,1.143752098083496,0.05490294471383095,0.08974393457174301,0.07869300246238708,0.11139807105064392,0.0,0.12606891989707947,0.1629321575164795,0.27360743284225464,0.0,0.001758114667609334,0.08132782578468323,0.019567640498280525
China,5,FAABE_NO_IWM,1.2799768447875977,0.0,0.22524376213550568,0.0,0.07931146770715714,0.07202060520648956,0.28205424547195435,0.0,,,,0.09495162218809128,0.24641834199428558
China,5,FAABE_FULL,1.2767682075500488,0.03710934892296791,0.1635076403617859,0.09150727093219757,0.026504259556531906,0.1028381958603859,0.2228391021490097,0.0036860064137727022,,,,0.04941882565617561,0.30258938670158386
China,6,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,6,FAABE_NO_FIREFLY,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,,,0.10000000149011612,0.10000000149011612,0.10000000149011612
China,6,FAABE_NO_PEARSON,1.0873430967330933,0.0,0.0,0.09707310795783997,0.0757080465555191,0.0,0.13017301261425018,0.29964175820350647,0.05324717238545418,0.12854623794555664,0.0,0.12367355823516846,0.09193714708089828
China,6,FAABE_NO_IWM,1.1152809858322144,0.05492663010954857,0.11702263355255127,0.0,0.06768706440925598,0.098326176404953,0.13013093173503876,0.02750488556921482,,,0.008625414222478867,0.2752809226512909,0.22049540281295776
China,6,FAABE_FULL,1.1061421632766724,0.0,0.17166613042354584,0.0,0.07360362261533737,0.08370146155357361,0.19388294219970703,0.07328278571367264,,,0.0,0.23996120691299438,0.1639018952846527
China,7,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,7,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,7,FAABE_NO_PEARSON,1.115760087966919,0.0,0.0,0.09437653422355652,0.028601622208952904,0.04328291118144989,0.06727663427591324,0.06866032630205154,0.18185113370418549,0.09432508796453476,0.04371047019958496,0.2859671115875244,0.09194812178611755
China,7,FAABE_NO_IWM,1.11555016040802,0.029573140665888786,0.005311320070177317,0.2882341146469116,0.07723492383956909,0.06032256782054901,0.08548247069120407,0.0,,,,0.2534603774547577,0.2003810703754425
China,7,FAABE_FULL,1.110065221786499,0.07221757620573044,0.0,0.16434913873672485,0.0456407368183136,0.10103601962327957,0.21547473967075348,0.0,,,,0.20514746010303497,0.19613432884216309
China,8,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,8,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,8,FAABE_NO_PEARSON,1.2163376808166504,0.004062718711793423,0.1594211906194687,0.030750000849366188,0.12304385006427765,0.0,0.030428320169448853,0.2499917447566986,0.04602406173944473,0.20793364942073822,0.013261916115880013,0.04089106246829033,0.09419151395559311
China,8,FAABE_NO_IWM,1.212104082107544,0.18721160292625427,0.0,0.0665210485458374,0.045385610312223434,0.059839602559804916,0.0,0.16598327457904816,,,,0.14433711767196655,0.33072173595428467
China,8,FAABE_FULL,1.233575701713562,0.04181341454386711,0.18038912117481232,0.060989271849393845,0.030042201280593872,0.0413806177675724,0.21571841835975647,0.052494436502456665,,,,0.033684730529785156,0.34348782896995544
China,9,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,9,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,9,FAABE_NO_PEARSON,1.2278555631637573,0.042570117861032486,0.06241047382354736,0.0,0.059569887816905975,0.13189677894115448,0.03791283443570137,0.528596818447113,0.01671159826219082,0.05695335194468498,0.020108239725232124,0.038894422352313995,0.004375480581074953
China,9,FAABE_NO_IWM,1.2379083633422852,0.0,0.10451100021600723,0.0,0.03786792978644371,0.22774682939052582,0.19851630926132202,0.006986367516219616,,,,0.20401380956172943,0.22035779058933258
China,9,FAABE_FULL,1.2597558498382568,0.0194381196051836,0.0,0.09410358965396881,0.05032401159405708,0.10913041979074478,0.27744367718696594,0.09255211055278778,,,,0.12099635601043701,0.23601168394088745
China,10,ABE_BASE,,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
China,10,FAABE_NO_FIREFLY,,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,,,,0.1111111119389534,0.1111111119389534
China,10,FAABE_NO_PEARSON,1.2140538692474365,0.02546863444149494,0.07174564152956009,0.03806319460272789,0.05664398521184921,0.0,0.16829052567481995,0.061534006148576736,0.1330040991306305,0.18570026755332947,0.0,0.21328051388263702,0.04626919701695442
China,10,FAABE_NO_IWM,1.2300057411193848,0.005178918596357107,0.048012133687734604,0.2594054639339447,0.06117348372936249,0.0,0.06459765136241913,0.19083812832832336,,,,0.08636238425970078,0.2844318747520447
China,10,FAABE_FULL,1.2488048076629639,0.023338040336966515,0.12187418341636658,0.1285555511713028,0.04344935342669487,0.11559164524078369,0.043853968381881714,0.0728638619184494,,,,0.097068190574646,0.3534051775932312
