Dataset,ABE,DE-ABE,FAABE,GA-ABE,GWO-ABE,PSO-ABE,WOA-ABE
Albrecht,0.7810754777286365,0.7065245835655084,0.864931934596027,0.8070615760957612,0.6851536789239739,0.7273026087249522,0.7957256613823279
COCOMO81,2.7508646175535842,2.2491583372342596,2.3702411610864247,1.4810016421702428,1.6450458583073808,1.8230000086074738,1.81157353089471
China,1.3254451842196198,1.408598731363401,1.3293209308977887,1.3160430324263441,1.4556307335265375,1.460174183492402,1.3818897450487349
Desharnais,0.6558106603996695,0.6974464093167073,0.6386713072320257,0.625171827945574,0.7372883110645316,0.6547276723201082,0.6396889995491378
Kemerer,0.613218082119333,0.5977720637610415,0.6073018407141219,0.6175963677271713,0.608383969968058,0.6256886989340807,0.616412441232069
Kitchenham,0.5220561577348432,0.2897473935077527,0.27681160320518566,0.2747152921668621,0.2674104949744245,0.2824530859990394,0.27826151171979635
Maxwell,0.7976828195705051,0.6839549587421205,0.6722114239452034,0.5237472243488898,0.5375570674878936,0.5627813990802418,0.5350222505844798
Miyazaki94,0.5191571930705651,0.48771257489765035,0.5667680345123011,0.519956184379649,0.5035486752592846,0.5152299720979062,0.43956899239324393
Subbiah,2.4259586531325716,2.3513364955287863,2.2321721363541527,2.0110932495167666,2.4790664543093186,2.4302771999204946,2.0201751391089084
Valdes-Souto,2.9993530150384276,3.000102664010276,3.00010221116544,3.000101806246976,3.000099913380486,3.000102664010276,3.000102683742234
