Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP,AFP,Enquiry,Interface,Added,Duration,AdjFactor,Resource,data,modp,loc,pcap,turn,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,KSLOC,RAWFP,Actual.duration,Adjusted.function.points,First.estimate,Nlan,T07,T11,T14,T15,Size,T09,T10,T01,T08,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs,COSMIC_FP,HH_CFP
Maxwell,4,WOA-ABE,0.37024298310279846,1000,,,,,,,,,,,,0.33001407980918884,,,,,,,,,,,,,,,,,,,,0.01006308477371931,0.0,0.02280868962407112,0.07027813792228699,0.0,0.5318326354026794,,0.035003405064344406,,,,,,,,,,,,,,,,,
Maxwell,4,FAABE,0.405439168214798,1000,,,,,,,,,,,,0.40098199248313904,,,,,,,,,,,,,,,,,,,,0.035002924501895905,0.0,0.051728639751672745,0.05219137668609619,0.0,0.38303881883621216,,0.07705625146627426,,,,,,,,,,,,,,,,,
Maxwell,5,ABE,,0,,,,,,,,,,,,0.1666666716337204,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,,,,,,,,,,,,,,,,,,,
Maxwell,5,GA-ABE,0.3565167188644409,1000,,,,,,,,,,,,0.38150548934936523,,,,,,,,,,,,,,,,,,,,0.03521927073597908,0.013008014298975468,0.012308035045862198,0.05368008464574814,,0.5042791366577148,,,,,,,,,,,,,,,,,,,
Maxwell,5,PSO-ABE,0.37017354369163513,1000,,,,,,,,,,,,0.4004583954811096,,,,,,,,,,,,,,,,,,,,0.0472278892993927,0.0,0.0,0.0564194992184639,,0.4958942234516144,,,,,,,,,,,,,,,,,,,
Maxwell,5,DE-ABE,0.46125563979148865,1000,,,,,,,,,,,,0.2431582510471344,,,,,,,,,,,,,,,,,,,,0.12376658618450165,0.1397411823272705,0.06181411072611809,0.10940929502248764,,0.3221105933189392,,,,,,,,,,,,,,,,,,,
Maxwell,5,GWO-ABE,0.373460978269577,1000,,,,,,,,,,,,0.3906700015068054,,,,,,,,,,,,,,,,,,,,0.04638328030705452,0.000738089787773788,0.0012058401480317116,0.06279980391263962,,0.49820300936698914,,,,,,,,,,,,,,,,,,,
Maxwell,5,WOA-ABE,0.5511060357093811,1000,,,,,,,,,,,,0.6062380075454712,,,,,,,,,,,,,,,,,,,,0.1182176023721695,0.1287490278482437,0.0,0.14679540693759918,,0.0,,,,,,,,,,,,,,,,,,,
Maxwell,5,FAABE,0.38513535261154175,1000,,,,,,,,,,,,0.43911024928092957,,,,,,,,,,,,,,,,,,,,0.05239023268222809,0.0,0.04708243906497955,0.029850028455257416,,0.43156713247299194,,,,,,,,,,,,,,,,,,,
Maxwell,6,ABE,,0,,,,,,,,,,,,0.1666666716337204,,,,,,,,,,,,,,,,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,,,,,,,,,,,,,,,,,,,
Maxwell,6,GA-ABE,0.432372510433197,1000,,,,,,,,,,,,0.3757728934288025,,,,,,,,,,,,,,,,,,,,0.056114617735147476,0.017496101558208466,0.018076209351420403,0.10486723482608795,,0.42767298221588135,,,,,,,,,,,,,,,,,,,
Maxwell,6,PSO-ABE,0.4471489489078522,1000,,,,,,,,,,,,0.4616326689720154,,,,,,,,,,,,,,,,,,,,0.0956641212105751,0.01140557136386633,0.0,0.005680059548467398,,0.42561760544776917,,,,,,,,,,,,,,,,,,,
Maxwell,6,DE-ABE,0.416740745306015,1000,,,,,,,,,,,,0.4224652051925659,,,,,,,,,,,,,,,,,,,,0.04605458304286003,0.0013919429620727897,0.002578286686912179,0.05389080569148064,,0.4736191928386688,,,,,,,,,,,,,,,,,,,
Maxwell,6,GWO-ABE,0.4088449776172638,1000,,,,,,,,,,,,0.4098984897136688,,,,,,,,,,,,,,,,,,,,0.046747319400310516,0.0008860722882673144,0.007215915247797966,0.04968545585870743,,0.48556679487228394,,,,,,,,,,,,,,,,,,,
Maxwell,6,WOA-ABE,0.4302402436733246,1000,,,,,,,,,,,,0.36538267135620117,,,,,,,,,,,,,,,,,,,,0.0,0.0011782278306782246,0.02596413902938366,0.052481140941381454,,0.5549938678741455,,,,,,,,,,,,,,,,,,,
Maxwell,6,FAABE,0.41835349798202515,1000,,,,,,,,,,,,0.39110201597213745,,,,,,,,,,,,,,,,,,,,0.04132915660738945,0.0,0.03276236355304718,0.06285709142684937,,0.47194939851760864,,,,,,,,,,,,,,,,,,,
Maxwell,7,ABE,,0,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,,0.125,,,,,,,,,,,,,,,,,
Maxwell,7,GA-ABE,0.34884822368621826,1000,,,,,,,,,,,,0.5646749138832092,,,,,,,,,,,,,,,,,,,,0.0,0.0063223689794540405,0.00015617602912243456,0.0,0.05549950152635574,0.3324359953403473,,0.04091108217835426,,,,,,,,,,,,,,,,,
Maxwell,7,PSO-ABE,0.3631149232387543,1000,,,,,,,,,,,,0.3605489730834961,,,,,,,,,,,,,,,,,,,,0.0,0.08316048979759216,0.01828286051750183,0.0,0.12085812538862228,0.3204953074455261,,0.09665420651435852,,,,,,,,,,,,,,,,,
Maxwell,7,DE-ABE,0.4755164086818695,1000,,,,,,,,,,,,0.2539721727371216,,,,,,,,,,,,,,,,,,,,0.04788953810930252,0.09202641248703003,0.05338338017463684,0.13364531099796295,0.006730358581990004,0.3278837203979492,,0.08446909487247467,,,,,,,,,,,,,,,,,
Maxwell,7,GWO-ABE,0.3469259440898895,1000,,,,,,,,,,,,0.4973759055137634,,,,,,,,,,,,,,,,,,,,0.001391207450069487,0.00010328767530154437,0.0,0.00520713347941637,0.043173447251319885,0.413711816072464,,0.03903723135590553,,,,,,,,,,,,,,,,,
Maxwell,7,WOA-ABE,0.3425823748111725,1000,,,,,,,,,,,,0.5001795291900635,,,,,,,,,,,,,,,,,,,,0.0006856921827420592,0.0,0.0,0.0031432549003511667,0.027791151776909828,0.41948723793029785,,0.048713162541389465,,,,,,,,,,,,,,,,,
Maxwell,7,FAABE,0.3605477213859558,1000,,,,,,,,,,,,0.5300304293632507,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.022853314876556396,0.0,0.14541411399841309,0.2586813271045685,,0.043020837008953094,,,,,,,,,,,,,,,,,
Maxwell,8,ABE,,0,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,,0.125,,,,,,,,,,,,,,,,,
Maxwell,8,GA-ABE,0.33680686354637146,1000,,,,,,,,,,,,0.39920592308044434,,,,,,,,,,,,,,,,,,,,0.0006715242634527385,0.0,0.025320429354906082,0.05745504051446915,0.003385944524779916,0.4797438681125641,,0.03421732783317566,,,,,,,,,,,,,,,,,
Maxwell,8,PSO-ABE,0.37284785509109497,1000,,,,,,,,,,,,0.3804953396320343,,,,,,,,,,,,,,,,,,,,0.02246382273733616,0.0,7.161301709857071e-06,0.0,0.0,0.5741136074066162,,0.02292008325457573,,,,,,,,,,,,,,,,,
Maxwell,8,DE-ABE,0.47680047154426575,1000,,,,,,,,,,,,0.23938575387001038,,,,,,,,,,,,,,,,,,,,0.05476352572441101,0.08729001134634018,0.07080353051424026,0.18963973224163055,0.010671444237232208,0.20079609751701355,,0.14664986729621887,,,,,,,,,,,,,,,,,
Maxwell,8,GWO-ABE,0.32027968764305115,1000,,,,,,,,,,,,0.34614551067352295,,,,,,,,,,,,,,,,,,,,0.00016800634330138564,0.0010941572254523635,0.025627940893173218,0.057892948389053345,0.0015172497369349003,0.548856258392334,,0.018697917461395264,,,,,,,,,,,,,,,,,
Maxwell,8,WOA-ABE,0.3568834662437439,1000,,,,,,,,,,,,0.34396764636039734,,,,,,,,,,,,,,,,,,,,0.040377505123615265,0.003019009018316865,0.0,0.04378829896450043,0.0,0.5688164234161377,,3.1098315957933664e-05,,,,,,,,,,,,,,,,,
Maxwell,8,FAABE,0.3837530016899109,1000,,,,,,,,,,,,0.43422070145606995,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.008742010220885277,0.0779733955860138,0.0,0.47906389832496643,,0.0,,,,,,,,,,,,,,,,,
Maxwell,9,ABE,,0,,,,,,,,,,,,0.1428571492433548,,,,,,,,,,,,,,,,,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,,0.1428571492433548,,,0.1428571492433548,0.1428571492433548,,,,,,,,,,,,,,,
Maxwell,9,GA-ABE,0.47921717166900635,1000,,,,,,,,,,,,0.3233051598072052,,,,,,,,,,,,,,,,,,,,,0.06008734554052353,0.03171524032950401,0.2631324529647827,,0.2395942509174347,,,0.00441413838416338,0.07775143533945084,,,,,,,,,,,,,,,
Maxwell,9,PSO-ABE,0.4890698790550232,1000,,,,,,,,,,,,0.446891725063324,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.5347428321838379,,,0.018365414813160896,0.0,,,,,,,,,,,,,,,
Maxwell,9,DE-ABE,0.46828991174697876,1000,,,,,,,,,,,,0.38098829984664917,,,,,,,,,,,,,,,,,,,,,0.08793485164642334,0.006807589903473854,0.2672603130340576,,0.15363164246082306,,,0.014575261622667313,0.0888020396232605,,,,,,,,,,,,,,,
Maxwell,9,GWO-ABE,0.4570125639438629,1000,,,,,,,,,,,,0.48607534170150757,,,,,,,,,,,,,,,,,,,,,0.001826312392950058,0.05160980299115181,0.11425792425870895,,0.337986022233963,,,0.00823462475091219,9.953116204997059e-06,,,,,,,,,,,,,,,
