Dataset,Fold,Variant,Training_MMRE,TeamExp,ManagerExp,YearEnd,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language
Desharnais,1,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,1,FAABE_NO_FIREFLY,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,
Desharnais,1,FAABE_NO_PEARSON,0.38632693886756897,0.0669027790427208,0.0,0.03131565451622009,0.17866766452789307,0.15778133273124695,0.0,0.0,0.10582809150218964,0.11105213314294815,0.3484523594379425
Desharnais,1,FAABE_NO_IWM,0.5512500405311584,,,,0.15941260755062103,0.21013592183589935,0.03134564310312271,0.21896708011627197,0.027142422273755074,0.3529963195323944,
Desharnais,1,FAABE_FULL,0.5548564195632935,,,,0.17375478148460388,0.219948410987854,0.033818569034338,0.15433230996131897,0.0158220361918211,0.402323842048645,
Desharnais,2,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,2,FAABE_NO_FIREFLY,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,
Desharnais,2,FAABE_NO_PEARSON,0.33352917432785034,0.02428297884762287,0.022281648591160774,0.02416553534567356,0.0,0.0,0.0,0.0027324873954057693,0.041024066507816315,0.48979586362838745,0.39571744203567505
Desharnais,2,FAABE_NO_IWM,0.5332713723182678,,,,0.5225107073783875,0.21078278124332428,0.08744567632675171,0.12835949659347534,0.0,0.0509013794362545,
Desharnais,2,FAABE_FULL,0.5512160062789917,,,,0.3229745030403137,0.2259826809167862,0.018982058390975,0.03171953558921814,0.0095826406031847,0.3907585144042969,
Desharnais,3,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,3,FAABE_NO_FIREFLY,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,
Desharnais,3,FAABE_NO_PEARSON,0.35227468609809875,0.028126079589128494,0.0,0.0,0.08768430352210999,0.07523956149816513,0.050714872777462006,0.0,0.12125401943922043,0.3176780045032501,0.3193032145500183
Desharnais,3,FAABE_NO_IWM,0.5504108667373657,,,,0.24998587369918823,0.0,0.4830031096935272,0.07110379636287689,0.15396465361118317,0.04194256663322449,
Desharnais,3,FAABE_FULL,0.5405177474021912,,,,0.27268335223197937,0.14169622957706451,0.08606515824794769,0.0,0.4995552599430084,0.0,
Desharnais,4,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,4,FAABE_NO_FIREFLY,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Desharnais,4,FAABE_NO_PEARSON,0.32069796323776245,0.017757587134838104,0.05174482986330986,0.0,7.372368418145925e-05,0.0,0.0,0.00171089346986264,0.05476125329732895,0.40817591547966003,0.4657757878303528
Desharnais,4,FAABE_NO_IWM,0.32826897501945496,,,,0.09259536862373352,0.0,0.0,0.0,0.02203018218278885,0.2702474594116211,0.6151270270347595
Desharnais,4,FAABE_FULL,0.3347528576850891,,,,0.11938855797052383,0.0,0.007742937654256821,0.053914815187454224,0.022427113726735115,0.319728285074234,0.47679832577705383
Desharnais,5,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,5,FAABE_NO_FIREFLY,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Desharnais,5,FAABE_NO_PEARSON,0.31939461827278137,0.007617862895131111,0.05574196204543114,0.0,0.03221267834305763,0.0,0.0,0.17806647717952728,0.02630622126162052,0.3709551692008972,0.3290996849536896
Desharnais,5,FAABE_NO_IWM,0.34820154309272766,,,,0.13234087824821472,0.23685793578624725,0.19831550121307373,0.0,0.14572960138320923,0.0,0.28675609827041626
Desharnais,5,FAABE_FULL,0.32816585898399353,,,,0.12209787219762802,0.0425756610929966,0.0,0.0,0.05093899741768837,0.3960486650466919,0.38833877444267273
Desharnais,6,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,6,FAABE_NO_FIREFLY,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,
Desharnais,6,FAABE_NO_PEARSON,0.32585999369621277,0.037780627608299255,0.0,0.0,0.0006233990425243974,0.0,0.0,0.0,0.0,0.46923375129699707,0.49236223101615906
Desharnais,6,FAABE_NO_IWM,0.5285319685935974,,,,0.20637673139572144,0.018790867179632187,0.36268964409828186,0.08473660051822662,0.29394200444221497,0.03346410021185875,
Desharnais,6,FAABE_FULL,0.5385410785675049,,,,0.21064798533916473,0.05485106259584427,0.3443445563316345,0.07061934471130371,0.31593936681747437,0.003597722854465246,
Desharnais,7,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,7,FAABE_NO_FIREFLY,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Desharnais,7,FAABE_NO_PEARSON,0.33608847856521606,0.024472985416650772,0.08899795264005661,0.0,0.0,0.0,0.0,0.09200283139944077,0.020465686917304993,0.4318985342979431,0.34216204285621643
Desharnais,7,FAABE_NO_IWM,0.326295405626297,,,,0.07616124302148819,0.0,0.0,0.0,0.03066893108189106,0.36316588521003723,0.5300039052963257
Desharnais,7,FAABE_FULL,0.3315359950065613,,,,0.06572647392749786,0.012435225769877434,0.0,0.04053962603211403,0.03495742753148079,0.3786375820636749,0.4677036702632904
Desharnais,8,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,8,FAABE_NO_FIREFLY,,,,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,
Desharnais,8,FAABE_NO_PEARSON,0.36638906598091125,0.0034123053774237633,0.0,0.013496672734618187,0.10478159785270691,0.15287187695503235,0.14447778463363647,0.08651784807443619,0.10290610045194626,0.04259452968835831,0.3489413559436798
Desharnais,8,FAABE_NO_IWM,0.532917320728302,,,,0.06728526949882507,0.18622152507305145,0.1658114641904831,0.0,0.05698733776807785,0.5236943960189819,
Desharnais,8,FAABE_FULL,0.5457680821418762,,,,0.07841110974550247,0.24207161366939545,0.0865914449095726,0.0,0.041015274822711945,0.5519105792045593,
Desharnais,9,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,9,FAABE_NO_FIREFLY,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Desharnais,9,FAABE_NO_PEARSON,0.3166808784008026,0.0,0.17843888700008392,0.0329996794462204,0.06977450847625732,0.26828455924987793,0.09756235778331757,0.0,0.03841568902134895,0.0845838412642479,0.22994042932987213
Desharnais,9,FAABE_NO_IWM,0.3345605432987213,,,,0.16080428659915924,0.15186817944049835,0.13323520123958588,0.03889663517475128,0.14694751799106598,0.04601078853011131,0.32223737239837646
Desharnais,9,FAABE_FULL,0.32326146960258484,,,,0.23936153948307037,0.00560436025261879,0.0,0.0,0.0,0.2878659963607788,0.4671681225299835
Desharnais,10,ABE_BASE,,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612
Desharnais,10,FAABE_NO_FIREFLY,,,,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Desharnais,10,FAABE_NO_PEARSON,0.35263144969940186,0.043125029653310776,0.00776565819978714,0.08994356542825699,0.06259696185588837,0.1472315788269043,0.20108704268932343,0.028948135673999786,0.0,0.1248944029211998,0.2944077253341675
Desharnais,10,FAABE_NO_IWM,0.3346092104911804,,,,0.11185767501592636,0.07546909898519516,0.0,0.0,0.04257882386445999,0.3658705949783325,0.404223769903183
Desharnais,10,FAABE_FULL,0.3418538570404053,,,,0.1014249250292778,0.031116938218474388,0.0,0.059176038950681686,0.03807750716805458,0.3601488471031189,0.4100557565689087
