Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Actual.duration,Adjusted.function.points,First.estimate
Kitchenham,1,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,1,GA-ABE,0.25892409682273865,1000,0.0053178174421191216,0.23719307780265808,0.7574890851974487
Kitchenham,1,PSO-ABE,0.2843033969402313,1000,0.010898379608988762,0.0,0.9891016483306885
Kitchenham,1,DE-ABE,0.26031312346458435,1000,0.005305903032422066,0.254428505897522,0.7402656078338623
Kitchenham,1,GWO-ABE,0.25901302695274353,1000,0.005407940596342087,0.07102189213037491,0.9235702157020569
Kitchenham,1,WOA-ABE,0.2589147388935089,1000,0.005289364606142044,0.23661670088768005,0.7580939531326294
Kitchenham,1,FAABE,0.2627243399620056,1000,0.005597114097326994,0.2307925671339035,0.763610303401947
Kitchenham,2,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,2,GA-ABE,0.28292661905288696,1000,0.27916717529296875,0.0668228343129158,0.654009997844696
Kitchenham,2,PSO-ABE,0.26075685024261475,1000,0.0,0.04707055538892746,0.9529294967651367
Kitchenham,2,DE-ABE,0.2462451010942459,1000,0.006237028632313013,0.06250116974115372,0.9312617778778076
Kitchenham,2,GWO-ABE,0.2468317747116089,1000,0.017558790743350983,0.04856812581419945,0.9338731169700623
Kitchenham,2,WOA-ABE,0.2488628625869751,1000,0.03690635412931442,0.032652538269758224,0.9304410815238953
Kitchenham,2,FAABE,0.24838238954544067,1000,0.006718032993376255,0.043900419026613235,0.9493815898895264
Kitchenham,3,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,3,GA-ABE,0.2689729630947113,1000,0.012355892919003963,0.08685345947742462,0.9007906913757324
Kitchenham,3,PSO-ABE,0.2900666892528534,1000,0.020104503259062767,0.0,0.9798954725265503
Kitchenham,3,DE-ABE,0.266620934009552,1000,0.005745789501816034,0.06935402750968933,0.924900233745575
Kitchenham,3,GWO-ABE,0.28777316212654114,1000,0.0,0.1149267628788948,0.8850732445716858
Kitchenham,3,WOA-ABE,0.26706641912460327,1000,0.008222449570894241,0.062429849058389664,0.9293476939201355
Kitchenham,3,FAABE,0.27001896500587463,1000,0.0018758544465526938,0.0677092894911766,0.9304148554801941
Kitchenham,4,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,4,GA-ABE,0.25575393438339233,1000,0.010354965925216675,0.06197785213589668,0.9276672005653381
Kitchenham,4,PSO-ABE,0.2554665803909302,1000,0.010294209234416485,0.06276653707027435,0.9269392490386963
Kitchenham,4,DE-ABE,0.25389155745506287,1000,0.008212272077798843,0.040834568440914154,0.9509531855583191
Kitchenham,4,GWO-ABE,0.2565341293811798,1000,0.01046047080308199,0.0612906739115715,0.9282488822937012
Kitchenham,4,WOA-ABE,0.2857654392719269,1000,0.0,0.042368631809949875,0.9576314091682434
Kitchenham,4,FAABE,0.2576153576374054,1000,0.011158113367855549,0.06748932600021362,0.9213525652885437
Kitchenham,5,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,5,GA-ABE,0.2688785195350647,1000,0.012012001127004623,0.07053525000810623,0.9174527525901794
Kitchenham,5,PSO-ABE,0.28329774737358093,1000,0.0,0.05193279683589935,0.9480671882629395
Kitchenham,5,DE-ABE,0.3267621695995331,1000,0.0,0.5780808329582214,0.42191916704177856
Kitchenham,5,GWO-ABE,0.2688761055469513,1000,0.012084011919796467,0.07071660459041595,0.9171993732452393
Kitchenham,5,WOA-ABE,0.2685721218585968,1000,0.0022562749218195677,0.060246847569942474,0.9374969005584717
Kitchenham,5,FAABE,0.2707073390483856,1000,0.010815818794071674,0.06412273645401001,0.9250614643096924
Kitchenham,6,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,6,GA-ABE,0.2719431221485138,1000,0.00969220232218504,0.05200817063450813,0.9382996559143066
Kitchenham,6,PSO-ABE,0.2729194462299347,1000,0.005066482350230217,0.2071894109249115,0.7877441644668579
Kitchenham,6,DE-ABE,0.2876951992511749,1000,0.010536822490394115,0.2677587568759918,0.7217044234275818
Kitchenham,6,GWO-ABE,0.271855890750885,1000,0.00959076453000307,0.05163417011499405,0.9387751221656799
Kitchenham,6,WOA-ABE,0.27292153239250183,1000,0.005010232329368591,0.20718637108802795,0.7878034114837646
Kitchenham,6,FAABE,0.27573826909065247,1000,0.005259648431092501,0.20980826020240784,0.7849321365356445
Kitchenham,7,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,7,GA-ABE,0.2587044835090637,1000,0.005928966216742992,0.07406479120254517,0.920006275177002
Kitchenham,7,PSO-ABE,0.27170464396476746,1000,0.0,0.040703628212213516,0.9592963457107544
Kitchenham,7,DE-ABE,0.25727909803390503,1000,0.005358164198696613,0.07038241624832153,0.9242594242095947
Kitchenham,7,GWO-ABE,0.25921177864074707,1000,0.006432878784835339,0.10342802107334137,0.890139102935791
Kitchenham,7,WOA-ABE,0.25980889797210693,1000,0.0016346920747309923,0.06271735578775406,0.9356479048728943
Kitchenham,7,FAABE,0.25920286774635315,1000,0.005878871772438288,0.10423673689365387,0.889884352684021
Kitchenham,8,ABE,,0,0.3333333432674408,0.3333333432674408,0.3333333432674408
Kitchenham,8,GA-ABE,0.2605171799659729,1000,0.0021313175093382597,0.0636233538389206,0.9342452883720398
Kitchenham,8,PSO-ABE,0.2605016827583313,1000,0.002164633246138692,0.06385922431945801,0.9339761137962341
