Dataset,Baseline,Proposed,Valid_Pairs,Baseline_MMRE,FAABE_MMRE,FAABE_MMRE_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
Maxwell,ABE,FAABE,62,0.7976828195705051,0.6722114239452034,15.729484520283272,642.0,0.019016674129435352,0.2596253902185224,Small,0.11410004477661212,False
Maxwell,GA-ABE,FAABE,62,0.5237472243488898,0.6722114239452034,-28.34653678229624,944.0,0.8197551768472482,0.055150884495317375,Negligible,1.0,False
Maxwell,PSO-ABE,FAABE,62,0.5627813990802418,0.6722114239452034,-19.444499239634418,853.0,0.3865628127073216,0.0931321540062435,Negligible,1.0,False
Maxwell,DE-ABE,FAABE,62,0.6839549587421205,0.6722114239452034,1.7170041165451868,774.0,0.15568271808668316,0.11758584807492195,Negligible,0.7784135904334157,False
Maxwell,GWO-ABE,FAABE,62,0.5375570674878936,0.6722114239452034,-25.049313756877062,817.0,0.263453335834158,-0.005723204994797087,Negligible,1.0,False
Maxwell,WOA-ABE,FAABE,62,0.5350222505844798,0.6722114239452034,-25.641769704129615,869.0,0.4510351731610014,0.07336108220603538,Negligible,1.0,False
