Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_MMRE,ABE_MAE,ABE_MSE,ABE_RMSE,ABE_Training_MMRE,GA-ABE_MMRE,GA-ABE_MAE,GA-ABE_MSE,GA-ABE_RMSE,GA-ABE_Training_MMRE,PSO-ABE_MMRE,PSO-ABE_MAE,PSO-ABE_MSE,PSO-ABE_RMSE,PSO-ABE_Training_MMRE,DE-ABE_MMRE,DE-ABE_MAE,DE-ABE_MSE,DE-ABE_RMSE,DE-ABE_Training_MMRE,GWO-ABE_MMRE,GWO-ABE_MAE,GWO-ABE_MSE,GWO-ABE_RMSE,GWO-ABE_Training_MMRE,WOA-ABE_MMRE,WOA-ABE_MAE,WOA-ABE_MSE,WOA-ABE_RMSE,WOA-ABE_Training_MMRE,FAABE_MMRE,FAABE_MAE,FAABE_MSE,FAABE_RMSE,FAABE_Training_MMRE
Maxwell,1,55,7,7,"Nlan,T07,T11,T14,T15,Duration,Size",0.29394865324115044,3628.534005301339,43823248.998259075,6619.913065762954,,0.4900657615338116,3168.8565848214284,18181891.74734388,4264.022953426011,0.43781182169914246,0.34025590484452095,3116.316092354911,20465040.66152233,4523.830308656849,0.42183586955070496,0.5157003566746113,3273.455008370536,17395475.032266922,4170.788298663326,0.4557841718196869,0.4167424554526219,2619.3558175223216,15734725.938797848,3966.7021489894914,0.397473007440567,0.4032676905963921,3215.5833914620534,20719017.730381396,4551.814773294427,0.4262988567352295,0.45708529178721097,2966.862967354911,17490149.350478046,4182.12258912601,0.4038827121257782
Maxwell,2,55,7,7,"Nlan,T07,T09,T10,T11,Duration,Size",1.1307979720251433,8876.360334123883,299808733.5328068,17314.985808045203,,0.7456152656692606,7233.926321847098,205649502.73125896,14340.48474533755,0.38452789187431335,1.0355906684342706,7683.373639787947,159364977.72744423,12623.98422557016,0.36228933930397034,0.7825675546811991,6435.475917271206,130708357.83053264,11432.775596089195,0.3790279030799866,1.5595289161133077,9292.67759486607,246876127.6731383,15712.292247572863,0.4841981828212738,1.1543220433370567,7647.705862862723,159168756.31003073,12616.210061267637,0.36253973841667175,2.5738756729551375,8189.365583147322,145801851.87847278,12074.84376207298,0.4173325002193451
Maxwell,3,56,6,6,"T07,T10,T11,T15,Duration,Size",0.3579646275796505,4854.767740885417,49155197.99901637,7011.07680738247,,0.4074034622153617,4745.9828694661455,44651574.6610489,6682.1833752935045,0.4673879146575928,0.5081188774398387,7224.5981852213545,93194064.33643937,9653.707284584476,0.47701579332351685,0.30004842304821766,4591.382242838542,43424598.24150018,6589.7343073526245,0.45735085010528564,0.5601062406205352,7320.6175537109375,91251808.09146321,9552.581226635197,0.4085254371166229,0.5649458446134547,7215.716471354167,90197368.59784858,9497.229522226395,0.3827928304672241,0.3732884845887685,4392.534586588542,37769210.737102866,6145.666012492288,0.4315219819545746
Maxwell,4,56,6,8,"Nlan,T07,T10,T11,T14,T15,Duration,Size",0.9170579714764132,3397.337605794271,13291288.712925961,3645.7219741672516,,0.693963284117971,2709.2601318359375,8875737.408385089,2979.217583256565,0.45047253370285034,0.42087587910369656,1697.335693359375,5219676.994033535,2284.661242730207,0.47507914900779724,0.784471500267428,2196.4498697916665,5421078.223123789,2328.320902093135,0.43681514263153076,0.3563972601416787,1364.3961995442708,3325532.1782234213,1823.6041725723874,0.39666691422462463,0.28804910510032405,1111.5071207682292,1914078.9797495306,1383.5024321444218,0.37024298310279846,0.5392320302880579,1478.9944661458333,4725168.726764123,2173.745322424898,0.405439168214798
Maxwell,5,56,6,6,"Nlan,T07,T11,T14,Duration,Size",1.3009995104209768,3275.087443033854,12636638.458503177,3554.804981782148,,0.840255688877629,2389.5404663085938,6778116.275488578,2603.481568110014,0.3565167188644409,0.5462235899649402,1991.0084635416667,4725685.819538057,2173.864259685516,0.37017354369163513,1.1522174724129755,2653.7762044270835,8183884.630194346,2860.748963155339,0.46125563979148865,0.547543850919728,1993.8571166992188,4747946.444776736,2178.9783029614446,0.373460978269577,0.7975991792764007,2448.95458984375,8730712.836627087,2954.777967399088,0.5511060357093811,0.5184759395573962,1862.511210123698,4728566.89226405,2174.526820313801,0.38513535261154175
Maxwell,6,56,6,6,"Nlan,T07,T11,T14,Duration,Size",0.9382150608222012,1972.6932169596355,6209208.979950957,2491.82844111527,,0.1131480388943484,611.252695719401,1316046.7881673009,1147.190824652682,0.432372510433197,0.28267356452933295,785.7428588867188,1685841.8025470402,1298.3997083129063,0.4471489489078522,0.10491494657215088,386.1817626953125,329818.3149362753,574.2981063317859,0.416740745306015,0.10347827812477772,378.5917256673177,310985.1932656846,557.6604641407571,0.4088449776172638,0.23691460712557133,463.85459391276044,308577.28008200973,555.4973268000574,0.4302402436733246,0.19296412937478827,679.0895487467448,1246095.3137386572,1116.2863941384653,0.41835349798202515
Maxwell,7,56,6,8,"Nlan,T07,T10,T11,T14,T15,Duration,Size",1.4731840095839877,3608.8314615885415,19023309.018662494,4361.5718518284775,,0.6413600626277064,2695.1554565429688,18343692.37655277,4282.9536976895715,0.34884822368621826,1.2643033149441611,3216.1669108072915,21063969.019638434,4589.549980078486,0.3631149232387543,1.2188548009259876,2088.165730794271,6752260.9078133,2598.511286835849,0.4755164086818695,0.6330526369220316,2696.838338216146,18504053.845781937,4301.633857708247,0.3469259440898895,0.6339909126710959,2698.9934285481772,18518558.679616295,4303.3194954147075,0.3425823748111725,0.7134885045523469,2787.3805338541665,20437172.741466645,4520.7491349848915,0.3605477213859558
Maxwell,8,56,6,8,"Nlan,T07,T10,T11,T14,T15,Duration,Size",0.519468932501591,3315.720703125,15411686.538516125,3925.7720945714773,,0.4592964612744075,3019.5903523763022,20324959.550916914,4508.321145494951,0.33680686354637146,0.6046409109079814,3905.1978759765625,28311951.300861645,5320.89760292957,0.37284785509109497,0.675842228355727,4477.616943359375,31651924.4486988,5626.004305783884,0.47680047154426575,0.591584489385269,3947.266805013021,29345967.465787023,5417.191843177332,0.32027968764305115,0.6417141801734515,4250.8457438151045,29654136.69790384,5445.561192191659,0.3568834662437439,0.5364140746194718,3523.2227376302085,25946297.684258897,5093.750846307552,0.3837530016899109
Maxwell,9,56,6,7,"T01,T07,T08,T11,T14,Duration,Size",0.3774655843897429,8077.755208333333,162448284.95382142,12745.520191574034,,0.40626684468503904,6989.640543619792,112341662.35275447,10599.134981344207,0.47921717166900635,0.2121782714099639,2108.538818359375,7147656.385006945,2673.5101243509334,0.4890698790550232,0.4690076446100721,8061.718831380208,133961828.69741905,11574.188036204485,0.46828991174697876,0.1909036643108463,2613.4105631510415,9806418.923501054,3131.5202256254156,0.4570125639438629,0.27714648944759535,4685.336507161458,38515256.8788656,6206.066135553632,0.45892077684402466,0.2271614746137415,2886.2005208333335,16564677.984868923,4069.9727253224833,0.4762962758541107
Maxwell,10,56,6,6,"Nlan,T07,T11,T14,Duration,Size",0.6961623759766492,1427.0052897135417,2529427.022336026,1590.4172478742885,,0.40873294384248116,1134.587890625,1837116.4900117915,1355.402704000472,0.4703616499900818,0.3712390467039936,892.0509643554688,1437232.7011509761,1198.846404319993,0.45870450139045715,0.8475316608942404,1996.1446940104167,5421407.33084474,2328.391575926339,0.5253456830978394,0.26604001012311573,1096.7586771647136,1777102.6169621453,1333.0801239843559,0.4195893108844757,0.27101491470937444,1115.944315592448,1833615.0331056241,1354.110421311949,0.4064100980758667,0.309038950973123,1449.0029602050781,3172544.4150178935,1781.163781076264,0.4205232262611389
