Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,AFP,Input,Output,Enquiry,File,Interface,Added,Duration,AdjFactor,Resource
China,1,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,1,GA-ABE,1.1784871816635132,1000,0.042315803468227386,0.10481694340705872,0.06147848814725876,0.08029824495315552,0.1633688062429428,0.2226342260837555,0.030336789786815643,0.2148619294166565,0.0798887386918068,
China,1,PSO-ABE,1.1311750411987305,1000,0.025139249861240387,0.09701305627822876,0.22441019117832184,0.08053650707006454,0.058918021619319916,0.2351512759923935,0.07341644167900085,0.05643227696418762,0.14898303151130676,
China,1,DE-ABE,1.1313302516937256,1000,0.0,0.16864782571792603,0.22405576705932617,0.059059321880340576,0.07310664653778076,0.17981189489364624,0.08373559266328812,0.0558227114379406,0.1557602882385254,
China,1,GWO-ABE,1.1542820930480957,1000,0.008488694205880165,0.008650088682770729,0.05429839715361595,0.044490713626146317,0.2870194911956787,0.005588904023170471,0.2158336192369461,0.07058149576187134,0.3050486445426941,
China,1,WOA-ABE,1.1320483684539795,1000,0.027860643342137337,0.1058289036154747,0.2055790275335312,0.061164967715740204,0.11325414478778839,0.18382854759693146,0.1082916408777237,0.058086443692445755,0.1361057311296463,
China,1,FAABE,1.159712553024292,1000,0.0,0.12276339530944824,0.21385325491428375,0.05092354118824005,0.14201763272285461,0.17027656733989716,0.05318770185112953,0.07116806507110596,0.1758098006248474,
China,2,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,2,GA-ABE,1.1804670095443726,1000,0.027574123814702034,0.1929817646741867,0.06747809052467346,0.08009413629770279,0.03989829868078232,0.034120555967092514,0.41569629311561584,0.044288091361522675,0.09786859154701233,
China,2,PSO-ABE,1.2095154523849487,1000,0.08369562029838562,0.11541345715522766,0.0,0.04757988825440407,0.1866385042667389,0.1509411633014679,0.04121260344982147,0.23769162595272064,0.13682714104652405,
China,2,DE-ABE,1.177114725112915,1000,0.018803689628839493,0.08317927271127701,0.08882056176662445,0.10970228910446167,0.044352442026138306,0.22457396984100342,0.29648539423942566,0.07759201526641846,0.05649038404226303,
China,2,GWO-ABE,1.2100814580917358,1000,0.11637471616268158,0.008417573757469654,0.020095115527510643,0.04974471405148506,0.19912584125995636,0.17233267426490784,0.004457566421478987,0.2733583450317383,0.15609341859817505,
China,2,WOA-ABE,1.214266300201416,1000,0.0,0.11182869225740433,0.148270845413208,0.04950224980711937,0.14549332857131958,0.08377037197351456,0.3712192177772522,0.03811592981219292,0.05179937928915024,
China,2,FAABE,1.2518634796142578,1000,0.12507662177085876,0.14510008692741394,0.0,0.025413474068045616,0.14082348346710205,0.21624283492565155,0.0,0.2237073928117752,0.12363608181476593,
China,3,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,3,GA-ABE,1.2104384899139404,1000,0.07875043898820877,0.09663747996091843,0.07895836234092712,0.04039178043603897,0.13066524267196655,0.17948758602142334,0.12467034161090851,0.1336158961057663,0.13682284951210022,
China,3,PSO-ABE,1.2164130210876465,1000,0.03443213179707527,0.0,0.09401366859674454,0.07163511961698532,0.027011945843696594,0.06879869103431702,0.3169386386871338,0.08999569714069366,0.2971740961074829,
China,3,DE-ABE,1.2212270498275757,1000,0.0659341961145401,0.14473839104175568,0.1073218435049057,0.0511595644056797,0.03663758933544159,0.22189775109291077,0.06119474396109581,0.07607506215572357,0.23504090309143066,
China,3,GWO-ABE,1.1966944932937622,1000,0.004793976433575153,0.0133518623188138,0.001294344780035317,0.05684463307261467,0.05125401169061661,0.0003786582965403795,0.5097641944885254,0.13314686715602875,0.22917144000530243,
China,3,WOA-ABE,1.2162141799926758,1000,0.10910447686910629,0.11350633203983307,0.11791376024484634,0.048695094883441925,0.0861901044845581,0.18333719670772552,0.1040266677737236,0.12080494314432144,0.1164214238524437,
China,3,FAABE,1.241773247718811,1000,0.0,0.11707242578268051,0.09794838726520538,0.03278438746929169,0.15684518218040466,0.19068628549575806,0.08739197999238968,0.09052503108978271,0.2267463356256485,
China,4,ABE,,0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,
China,4,GA-ABE,1.1039156913757324,1000,0.0007110753795132041,0.05730535835027695,0.08616207540035248,0.026687487959861755,0.07978085428476334,0.14010275900363922,0.087889164686203,0.10977984964847565,0.4115813374519348,
