Dataset,Fold,Variant,Training_MMRE,TotalUFP,ExternalInterface,ExternalQueries,ExternalInputs,InternalLogicalFiles,ExternalOutputs
Subbiah,1,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,1,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,1,FAABE_NO_PEARSON,1.194423794746399,0.0,0.1211923360824585,0.01603526435792446,0.10815446078777313,0.0,0.7546178698539734
Subbiah,1,FAABE_NO_IWM,1.1084908246994019,0.0,0.18893618881702423,0.014407504349946976,0.07645673304796219,0.0,0.7201995849609375
Subbiah,1,FAABE_FULL,1.1656522750854492,0.0,0.1848510056734085,0.046233996748924255,0.09332507103681564,0.0,0.675589919090271
Subbiah,2,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,2,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,2,FAABE_NO_PEARSON,1.2162472009658813,0.0,0.03708122670650482,0.0,0.0473550483584404,0.005444644019007683,0.9101190567016602
Subbiah,2,FAABE_NO_IWM,1.7879629135131836,0.0,0.30935046076774597,0.017965126782655716,0.17111428081989288,0.3958551585674286,0.10571498423814774
Subbiah,2,FAABE_FULL,1.202207088470459,0.0,0.04552777111530304,0.0,0.027451468631625175,0.0,0.927020788192749
Subbiah,3,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
Subbiah,3,FAABE_NO_FIREFLY,,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,
Subbiah,3,FAABE_NO_PEARSON,1.1506130695343018,0.0,0.03686174377799034,0.0,0.19215461611747742,0.030117269605398178,0.7408664226531982
Subbiah,3,FAABE_NO_IWM,1.5786033868789673,0.44479867815971375,0.28330597281455994,0.0,0.11608832329511642,0.15580707788467407,
Subbiah,3,FAABE_FULL,1.6104919910430908,0.03116818331182003,0.058452967554330826,0.7356603145599365,0.17471860349178314,0.0,
Subbiah,4,ABE_BASE,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
