Dataset,Ablation,Proposed,Valid_Pairs,Ablation_MMRE,FAABE_FULL_MMRE,Full_Improvement_%,Wilcoxon_Statistic,Wilcoxon_p,Cliffs_Delta,Cliffs_Effect,Wilcoxon_p_Holm,Significant_Holm_0.05
Subbiah,ABE_BASE,FAABE_FULL,72,2.1248666700742946,2.2739857717829963,-7.017809814085315,1231.0,0.6413797406093857,-0.007716049382716049,Negligible,1.0,False
Subbiah,FAABE_NO_PEARSON,FAABE_FULL,72,2.230240313746966,2.2739857717829963,-1.961468356857688,955.0,0.043946791313688886,0.08950617283950617,Negligible,0.17578716525475555,False
Subbiah,FAABE_NO_FIREFLY,FAABE_FULL,72,2.4259586531325716,2.2739857717829963,6.264446475760707,1216.0,0.5823564384882778,-0.03433641975308642,Negligible,1.0,False
Subbiah,FAABE_NO_IWM,FAABE_FULL,72,1.7045463115068236,2.2739857717829963,-33.4070982074278,1240.0,0.6779476873812453,0.008101851851851851,Negligible,1.0,False
