Dataset,Method,N_Projects,MMRE,MAE,MSE,RMSE
Subbiah,ABE,72,2.4259586531325716,5662.634145100911,69018700.31473619,8307.749413333084
Subbiah,GA-ABE,72,2.0110932495167666,5984.551125420465,73918344.01224467,8597.577799138817
Subbiah,PSO-ABE,72,2.4302771999204946,5488.83831108941,68713736.06617044,8289.374889952223
Subbiah,DE-ABE,72,2.3513364955287863,6100.872048272027,75410498.2398938,8683.92182368622
Subbiah,GWO-ABE,72,2.4790664543093186,6536.893118964301,83258564.44808865,9124.613112241452
Subbiah,WOA-ABE,72,2.0201751391089084,6282.710789998372,74469014.76628093,8629.543137749584
Subbiah,FAABE,72,2.2321721363541527,6177.554799397786,78325173.23815165,8850.151029115359
