Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
Subbiah,1,PSO-ABE,13,1.4728983640670776,140
Subbiah,1,PSO-ABE,14,1.4717156887054443,150
Subbiah,1,PSO-ABE,15,1.4717156887054443,160
Subbiah,1,PSO-ABE,16,1.4717156887054443,170
Subbiah,1,PSO-ABE,17,1.4717156887054443,180
Subbiah,1,PSO-ABE,18,1.4653314352035522,190
Subbiah,1,PSO-ABE,19,1.4653314352035522,200
Subbiah,1,PSO-ABE,20,1.4653314352035522,210
Subbiah,1,PSO-ABE,21,1.4653314352035522,220
Subbiah,1,PSO-ABE,22,1.4653314352035522,230
Subbiah,1,PSO-ABE,23,1.4533566236495972,240
Subbiah,1,PSO-ABE,24,1.4523028135299683,250
Subbiah,1,PSO-ABE,25,1.4523028135299683,260
Subbiah,1,PSO-ABE,26,1.4523028135299683,270
Subbiah,1,PSO-ABE,27,1.4523028135299683,280
Subbiah,1,PSO-ABE,28,1.4435687065124512,290
Subbiah,1,PSO-ABE,29,1.4435687065124512,300
Subbiah,1,PSO-ABE,30,1.4435687065124512,310
Subbiah,1,PSO-ABE,31,1.4435687065124512,320
Subbiah,1,PSO-ABE,32,1.4435687065124512,330
Subbiah,1,PSO-ABE,33,1.4435687065124512,340
Subbiah,1,PSO-ABE,34,1.4435687065124512,350
Subbiah,1,PSO-ABE,35,1.4435687065124512,360
Subbiah,1,PSO-ABE,36,1.4435687065124512,370
Subbiah,1,PSO-ABE,37,1.4435687065124512,380
Subbiah,1,PSO-ABE,38,1.4435687065124512,390
Subbiah,1,PSO-ABE,39,1.4429625272750854,400
Subbiah,1,PSO-ABE,40,1.4429625272750854,410
Subbiah,1,PSO-ABE,41,1.4410159587860107,420
Subbiah,1,PSO-ABE,42,1.4410159587860107,430
Subbiah,1,PSO-ABE,43,1.4347245693206787,440
Subbiah,1,PSO-ABE,44,1.4347245693206787,450
Subbiah,1,PSO-ABE,45,1.4347245693206787,460
Subbiah,1,PSO-ABE,46,1.4347245693206787,470
Subbiah,1,PSO-ABE,47,1.4347245693206787,480
Subbiah,1,PSO-ABE,48,1.4300882816314697,490
Subbiah,1,PSO-ABE,49,1.4300882816314697,500
Subbiah,1,PSO-ABE,50,1.4300882816314697,510
Subbiah,1,PSO-ABE,51,1.4300882816314697,520
Subbiah,1,PSO-ABE,52,1.4247665405273438,530
Subbiah,1,PSO-ABE,53,1.4247665405273438,540
Subbiah,1,PSO-ABE,54,1.4236369132995605,550
Subbiah,1,PSO-ABE,55,1.4236369132995605,560
Subbiah,1,PSO-ABE,56,1.4236369132995605,570
Subbiah,1,PSO-ABE,57,1.4236369132995605,580
Subbiah,1,PSO-ABE,58,1.412530779838562,590
Subbiah,1,PSO-ABE,59,1.412530779838562,600
Subbiah,1,PSO-ABE,60,1.4107120037078857,610
Subbiah,1,PSO-ABE,61,1.4107120037078857,620
Subbiah,1,PSO-ABE,62,1.4107120037078857,630
Subbiah,1,PSO-ABE,63,1.4107120037078857,640
Subbiah,1,PSO-ABE,64,1.4107120037078857,650
Subbiah,1,PSO-ABE,65,1.4107120037078857,660
Subbiah,1,PSO-ABE,66,1.4107120037078857,670
Subbiah,1,PSO-ABE,67,1.4107120037078857,680
Subbiah,1,PSO-ABE,68,1.4107120037078857,690
Subbiah,1,PSO-ABE,69,1.4107120037078857,700
Subbiah,1,PSO-ABE,70,1.4107120037078857,710
Subbiah,1,PSO-ABE,71,1.4107120037078857,720
Subbiah,1,PSO-ABE,72,1.4107120037078857,730
Subbiah,1,PSO-ABE,73,1.4107120037078857,740
Subbiah,1,PSO-ABE,74,1.4107120037078857,750
Subbiah,1,PSO-ABE,75,1.4107120037078857,760
Subbiah,1,PSO-ABE,76,1.4107120037078857,770
Subbiah,1,PSO-ABE,77,1.4107120037078857,780
Subbiah,1,PSO-ABE,78,1.4105700254440308,790
Subbiah,1,PSO-ABE,79,1.4105298519134521,800
Subbiah,1,PSO-ABE,80,1.4105298519134521,810
Subbiah,1,PSO-ABE,81,1.4105298519134521,820
Subbiah,1,PSO-ABE,82,1.4104902744293213,830
Subbiah,1,PSO-ABE,83,1.4104413986206055,840
Subbiah,1,PSO-ABE,84,1.4104058742523193,850
Subbiah,1,PSO-ABE,85,1.4104058742523193,860
Subbiah,1,PSO-ABE,86,1.4104058742523193,870
Subbiah,1,PSO-ABE,87,1.4104058742523193,880
Subbiah,1,PSO-ABE,88,1.4103889465332031,890
Subbiah,1,PSO-ABE,89,1.4103848934173584,900
Subbiah,1,PSO-ABE,90,1.4103695154190063,910
Subbiah,1,PSO-ABE,91,1.410366177558899,920
Subbiah,1,PSO-ABE,92,1.410366177558899,930
Subbiah,1,PSO-ABE,93,1.4103249311447144,940
Subbiah,1,PSO-ABE,94,1.4103249311447144,950
Subbiah,1,PSO-ABE,95,1.4103249311447144,960
Subbiah,1,PSO-ABE,96,1.4103152751922607,970
Subbiah,1,PSO-ABE,97,1.4102427959442139,980
Subbiah,1,PSO-ABE,98,1.4101847410202026,990
Subbiah,1,PSO-ABE,99,1.4101428985595703,1000
Subbiah,1,DE-ABE,0,1.6488196849822998,10
Subbiah,1,DE-ABE,1,1.6236416101455688,20
Subbiah,1,DE-ABE,2,1.6236416101455688,30
Subbiah,1,DE-ABE,3,1.5572800636291504,40
Subbiah,1,DE-ABE,4,1.5210604667663574,50
Subbiah,1,DE-ABE,5,1.5210604667663574,60
Subbiah,1,DE-ABE,6,1.5141301155090332,70
Subbiah,1,DE-ABE,7,1.4921658039093018,80
Subbiah,1,DE-ABE,8,1.4921658039093018,90
Subbiah,1,DE-ABE,9,1.4833482503890991,100
Subbiah,1,DE-ABE,10,1.4707636833190918,110
Subbiah,1,DE-ABE,11,1.4707636833190918,120
Subbiah,1,DE-ABE,12,1.4707636833190918,130
Subbiah,1,DE-ABE,13,1.4707636833190918,140
Subbiah,1,DE-ABE,14,1.4707636833190918,150
Subbiah,1,DE-ABE,15,1.4707636833190918,160
Subbiah,1,DE-ABE,16,1.4707636833190918,170
Subbiah,1,DE-ABE,17,1.4707636833190918,180
Subbiah,1,DE-ABE,18,1.4686682224273682,190
Subbiah,1,DE-ABE,19,1.465205430984497,200
Subbiah,1,DE-ABE,20,1.4647144079208374,210
Subbiah,1,DE-ABE,21,1.4647144079208374,220
Subbiah,1,DE-ABE,22,1.4647144079208374,230
Subbiah,1,DE-ABE,23,1.4647144079208374,240
Subbiah,1,DE-ABE,24,1.4634578227996826,250
Subbiah,1,DE-ABE,25,1.4634578227996826,260
Subbiah,1,DE-ABE,26,1.4634578227996826,270
Subbiah,1,DE-ABE,27,1.461503267288208,280
Subbiah,1,DE-ABE,28,1.461503267288208,290
Subbiah,1,DE-ABE,29,1.4602261781692505,300
Subbiah,1,DE-ABE,30,1.4602261781692505,310
Subbiah,1,DE-ABE,31,1.4597680568695068,320
Subbiah,1,DE-ABE,32,1.4597680568695068,330
Subbiah,1,DE-ABE,33,1.4577711820602417,340
Subbiah,1,DE-ABE,34,1.4577711820602417,350
Subbiah,1,DE-ABE,35,1.4577711820602417,360
Subbiah,1,DE-ABE,36,1.4573289155960083,370
Subbiah,1,DE-ABE,37,1.4573289155960083,380
Subbiah,1,DE-ABE,38,1.4573289155960083,390
Subbiah,1,DE-ABE,39,1.457116723060608,400
Subbiah,1,DE-ABE,40,1.4569584131240845,410
Subbiah,1,DE-ABE,41,1.4569584131240845,420
Subbiah,1,DE-ABE,42,1.4569584131240845,430
Subbiah,1,DE-ABE,43,1.456903338432312,440
Subbiah,1,DE-ABE,44,1.456903338432312,450
Subbiah,1,DE-ABE,45,1.456903338432312,460
Subbiah,1,DE-ABE,46,1.4568719863891602,470
Subbiah,1,DE-ABE,47,1.456829309463501,480
Subbiah,1,DE-ABE,48,1.4568281173706055,490
Subbiah,1,DE-ABE,49,1.456823706626892,500
Subbiah,1,DE-ABE,50,1.456820011138916,510
Subbiah,1,DE-ABE,51,1.456803321838379,520
Subbiah,1,DE-ABE,52,1.456803321838379,530
Subbiah,1,DE-ABE,53,1.4568002223968506,540
Subbiah,1,DE-ABE,54,1.4567655324935913,550
Subbiah,1,DE-ABE,55,1.4567655324935913,560
Subbiah,1,DE-ABE,56,1.4567530155181885,570
Subbiah,1,DE-ABE,57,1.4566794633865356,580
Subbiah,1,DE-ABE,58,1.4566794633865356,590
Subbiah,1,DE-ABE,59,1.4566572904586792,600
Subbiah,1,DE-ABE,60,1.4566572904586792,610
Subbiah,1,DE-ABE,61,1.4566431045532227,620
Subbiah,1,DE-ABE,62,1.4566431045532227,630
Subbiah,1,DE-ABE,63,1.4566422700881958,640
Subbiah,1,DE-ABE,64,1.4566316604614258,650
Subbiah,1,DE-ABE,65,1.4566212892532349,660
Subbiah,1,DE-ABE,66,1.4566212892532349,670
Subbiah,1,DE-ABE,67,1.4566212892532349,680
Subbiah,1,DE-ABE,68,1.4566212892532349,690
Subbiah,1,DE-ABE,69,1.4566065073013306,700
Subbiah,1,DE-ABE,70,1.456601858139038,710
Subbiah,1,DE-ABE,71,1.4565987586975098,720
Subbiah,1,DE-ABE,72,1.4565943479537964,730
Subbiah,1,DE-ABE,73,1.4565863609313965,740
Subbiah,1,DE-ABE,74,1.4565765857696533,750
Subbiah,1,DE-ABE,75,1.4565610885620117,760
Subbiah,1,DE-ABE,76,1.4565610885620117,770
Subbiah,1,DE-ABE,77,1.4565585851669312,780
Subbiah,1,DE-ABE,78,1.456557273864746,790
Subbiah,1,DE-ABE,79,1.4565496444702148,800
Subbiah,1,DE-ABE,80,1.4565496444702148,810
Subbiah,1,DE-ABE,81,1.456548810005188,820
Subbiah,1,DE-ABE,82,1.4565471410751343,830
Subbiah,1,DE-ABE,83,1.4565443992614746,840
Subbiah,1,DE-ABE,84,1.4565443992614746,850
Subbiah,1,DE-ABE,85,1.456540822982788,860
Subbiah,1,DE-ABE,86,1.4565389156341553,870
Subbiah,1,DE-ABE,87,1.4565346240997314,880
Subbiah,1,DE-ABE,88,1.4565330743789673,890
Subbiah,1,DE-ABE,89,1.4565329551696777,900
Subbiah,1,DE-ABE,90,1.4565300941467285,910
Subbiah,1,DE-ABE,91,1.4565300941467285,920
Subbiah,1,DE-ABE,92,1.456527829170227,930
Subbiah,1,DE-ABE,93,1.4565238952636719,940
Subbiah,1,DE-ABE,94,1.4565231800079346,950
Subbiah,1,DE-ABE,95,1.4565222263336182,960
Subbiah,1,DE-ABE,96,1.456519365310669,970
Subbiah,1,DE-ABE,97,1.4565190076828003,980
Subbiah,1,DE-ABE,98,1.4565143585205078,990
Subbiah,1,DE-ABE,99,1.4565143585205078,1000
Subbiah,1,GWO-ABE,0,1.6351556777954102,10
Subbiah,1,GWO-ABE,1,1.5840824842453003,20
Subbiah,1,GWO-ABE,2,1.5356175899505615,30
Subbiah,1,GWO-ABE,3,1.5952155590057373,40
Subbiah,1,GWO-ABE,4,1.602993130683899,50
Subbiah,1,GWO-ABE,5,1.5344398021697998,60
Subbiah,1,GWO-ABE,6,1.5214444398880005,70
Subbiah,1,GWO-ABE,7,1.50860595703125,80
Subbiah,1,GWO-ABE,8,1.5202713012695312,90
Subbiah,1,GWO-ABE,9,1.521345615386963,100
Subbiah,1,GWO-ABE,10,1.4226528406143188,110
Subbiah,1,GWO-ABE,11,1.4136121273040771,120
Subbiah,1,GWO-ABE,12,1.5116883516311646,130
Subbiah,1,GWO-ABE,13,1.4268877506256104,140
Subbiah,1,GWO-ABE,14,1.4823969602584839,150
Subbiah,1,GWO-ABE,15,1.3303309679031372,160
Subbiah,1,GWO-ABE,16,1.2977039813995361,170
