Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
Miyazaki94,1,KLOC,0.7761942178754985,0.7761942178754985,True
Miyazaki94,1,SCRN,0.8449470939777476,0.8449470939777476,True
Miyazaki94,1,FORM,0.6439432291583211,0.6439432291583211,True
Miyazaki94,1,FILE,0.9647604845428656,0.9647604845428656,True
Miyazaki94,1,ESCRN,0.704219325692547,0.704219325692547,True
Miyazaki94,1,EFORM,0.4006599392302628,0.4006599392302628,True
Miyazaki94,1,EFILE,0.9766936268567425,0.9766936268567425,True
Miyazaki94,2,KLOC,0.7361535237352097,0.7361535237352097,True
Miyazaki94,2,SCRN,0.8428987490220007,0.8428987490220007,True
Miyazaki94,2,FORM,0.6492392593167954,0.6492392593167954,True
Miyazaki94,2,FILE,0.9600745414176123,0.9600745414176123,True
Miyazaki94,2,ESCRN,0.6587313947342699,0.6587313947342699,True
Miyazaki94,2,EFORM,0.36577702333375106,0.36577702333375106,True
Miyazaki94,2,EFILE,0.9765489063712144,0.9765489063712144,True
Miyazaki94,3,KLOC,0.7346383786065254,0.7346383786065254,True
Miyazaki94,3,SCRN,0.8440180179931349,0.8440180179931349,True
Miyazaki94,3,FORM,0.6333470603987925,0.6333470603987925,True
Miyazaki94,3,FILE,0.9610432250341772,0.9610432250341772,True
Miyazaki94,3,ESCRN,0.6504229714988432,0.6504229714988432,True
Miyazaki94,3,EFORM,0.35870051675793324,0.35870051675793324,True
Miyazaki94,3,EFILE,0.9757337905856012,0.9757337905856012,True
Miyazaki94,4,KLOC,0.824495685571166,0.824495685571166,True
Miyazaki94,4,SCRN,0.8875611099496107,0.8875611099496107,True
Miyazaki94,4,FORM,0.6559848114390978,0.6559848114390978,True
Miyazaki94,4,FILE,0.9594362735720517,0.9594362735720517,True
Miyazaki94,4,ESCRN,0.672124141270219,0.672124141270219,True
Miyazaki94,4,EFORM,0.33124270098297937,0.33124270098297937,True
Miyazaki94,4,EFILE,0.9789643237252728,0.9789643237252728,True
Miyazaki94,5,KLOC,0.7347582628958946,0.7347582628958946,True
Miyazaki94,5,SCRN,0.8447287948272356,0.8447287948272356,True
Miyazaki94,5,FORM,0.632683425735907,0.632683425735907,True
Miyazaki94,5,FILE,0.962275884705945,0.962275884705945,True
Miyazaki94,5,ESCRN,0.676336280636329,0.676336280636329,True
Miyazaki94,5,EFORM,0.36080376643919027,0.36080376643919027,True
Miyazaki94,5,EFILE,0.9753732491104793,0.9753732491104793,True
Miyazaki94,6,KLOC,0.8642452177445907,0.8642452177445907,True
Miyazaki94,6,SCRN,0.855556693062728,0.855556693062728,True
Miyazaki94,6,FORM,0.5586226054716782,0.5586226054716782,True
Miyazaki94,6,FILE,0.6409349012252361,0.6409349012252361,True
Miyazaki94,6,ESCRN,0.6369917074474152,0.6369917074474152,True
Miyazaki94,6,EFORM,0.3377111309127443,0.3377111309127443,True
Miyazaki94,6,EFILE,0.5798272932887933,0.5798272932887933,True
Miyazaki94,7,KLOC,0.7339203622552273,0.7339203622552273,True
Miyazaki94,7,SCRN,0.842757534610722,0.842757534610722,True
Miyazaki94,7,FORM,0.6334582021816674,0.6334582021816674,True
Miyazaki94,7,FILE,0.9601916214363103,0.9601916214363103,True
Miyazaki94,7,ESCRN,0.6496727778586813,0.6496727778586813,True
Miyazaki94,7,EFORM,0.33918781940903786,0.33918781940903786,True
Miyazaki94,7,EFILE,0.9762022752183821,0.9762022752183821,True
Miyazaki94,8,KLOC,0.7337510792018878,0.7337510792018878,True
Miyazaki94,8,SCRN,0.8450590523950421,0.8450590523950421,True
Miyazaki94,8,FORM,0.6251202110499451,0.6251202110499451,True
Miyazaki94,8,FILE,0.964305492805863,0.964305492805863,True
Miyazaki94,8,ESCRN,0.654611643539175,0.654611643539175,True
Miyazaki94,8,EFORM,0.33463620178178943,0.33463620178178943,True
Miyazaki94,8,EFILE,0.9754644696247445,0.9754644696247445,True
Miyazaki94,9,KLOC,0.7338585252116634,0.7338585252116634,True
Miyazaki94,9,SCRN,0.8454384331984398,0.8454384331984398,True
Miyazaki94,9,FORM,0.6285791309165748,0.6285791309165748,True
Miyazaki94,9,FILE,0.9601881020068286,0.9601881020068286,True
Miyazaki94,9,ESCRN,0.6497303659991904,0.6497303659991904,True
Miyazaki94,9,EFORM,0.33557850502381315,0.33557850502381315,True
Miyazaki94,9,EFILE,0.9754985746289276,0.9754985746289276,True
Miyazaki94,10,KLOC,0.7417188872997057,0.7417188872997057,True
Miyazaki94,10,SCRN,0.876560906811117,0.876560906811117,True
Miyazaki94,10,FORM,0.633821827141072,0.633821827141072,True
Miyazaki94,10,FILE,0.9666779941603388,0.9666779941603388,True
Miyazaki94,10,ESCRN,0.6986257604592025,0.6986257604592025,True
Miyazaki94,10,EFORM,0.3432986787504578,0.3432986787504578,True
Miyazaki94,10,EFILE,0.9763411123361864,0.9763411123361864,True
