Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE
Miyazaki94,3,FAABE,0.35640662908554077,1000,0.3631843626499176,0.31440412998199463,0.0,0.0,0.1999242901802063,0.02190272882580757,0.1005844920873642
Miyazaki94,4,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,4,GA-ABE,0.32712700963020325,1000,0.6811078190803528,0.0002157433336833492,0.0,0.01535648200660944,0.15360623598098755,6.0537880926858634e-05,0.14965316653251648
Miyazaki94,4,PSO-ABE,0.35676294565200806,1000,0.48019304871559143,0.32422980666160583,0.0,0.0070297811180353165,0.14700742065906525,0.041539888828992844,0.0
Miyazaki94,4,DE-ABE,0.38775283098220825,1000,0.30229121446609497,0.3488035202026367,0.07851067930459976,0.005541074089705944,0.04655066132545471,0.10412062704563141,0.1141822338104248
Miyazaki94,4,GWO-ABE,0.33717697858810425,1000,0.7041192054748535,0.002298572799190879,9.197647887049243e-05,0.004610640928149223,0.16828791797161102,3.6596211430151016e-05,0.12055505067110062
Miyazaki94,4,WOA-ABE,0.3455908000469208,1000,0.42735618352890015,0.0,0.0,0.0,0.0,0.0,0.5726438164710999
Miyazaki94,4,FAABE,0.34180766344070435,1000,0.693548321723938,0.0,0.0,0.08661697804927826,0.19890926778316498,0.0,0.02092546410858631
Miyazaki94,5,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,5,GA-ABE,0.39264562726020813,1000,0.6099162697792053,0.017133697867393494,0.0,0.0,0.09310289472341537,0.0,0.2798471450805664
Miyazaki94,5,PSO-ABE,0.39394262433052063,1000,0.4797150790691376,0.0,0.0,0.21849943697452545,0.13779035210609436,0.0,0.1639951467514038
Miyazaki94,5,DE-ABE,0.4261901378631592,1000,0.2590019404888153,0.26009175181388855,0.0,0.013702883385121822,0.2849656641483307,0.0020201520528644323,0.1802176982164383
Miyazaki94,5,GWO-ABE,0.3900947868824005,1000,0.43651098012924194,0.006204608362168074,5.460354805109091e-05,0.0012378119863569736,0.0003220295184291899,0.00044797605369240046,0.5552219748497009
Miyazaki94,5,WOA-ABE,0.39046603441238403,1000,0.44347116351127625,0.0,0.0,0.0,0.0,0.0,0.5565288662910461
Miyazaki94,5,FAABE,0.4142501652240753,1000,0.40682452917099,0.22000284492969513,0.0,0.0,0.10574080795049667,0.007130896206945181,0.260300874710083
Miyazaki94,6,ABE,,0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,6,GA-ABE,0.3643910586833954,1000,0.4479202628135681,0.3600861728191376,0.0,0.0,0.18909859657287598,0.0028950106352567673,4.526309282937291e-08
