MMRE_Rank,Dataset,Variant,N_Projects,MMRE,MAE,MSE,RMSE
1,Miyazaki94,FAABE_NO_PEARSON,48,0.4467203820643628,50.77705341974894,43135.05789159758,207.68981171833533
2,Miyazaki94,FAABE_FULL,48,0.4962651024254061,53.443229293823244,43388.020794469005,208.29791356244786
3,Miyazaki94,FAABE_NO_IWM,48,0.4971284100847109,60.679167757431664,48089.57484678255,219.29335340311286
4,Miyazaki94,ABE_BASE,48,0.5191571930705651,52.02781643867493,43427.30250587807,208.39218436850763
5,Miyazaki94,FAABE_NO_FIREFLY,48,0.5191571930705651,52.02781643867493,43427.30250587807,208.39218436850763
