Dataset,Fold,Variant,Training_MMRE,KLOC,SCRN,FORM,FILE,ESCRN,EFORM,EFILE
Miyazaki94,1,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,1,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,1,FAABE_NO_PEARSON,0.3190767168998718,0.5511171221733093,0.011843790300190449,0.001104691531509161,0.0,0.0,0.0,0.4359343945980072
Miyazaki94,1,FAABE_NO_IWM,0.32901257276535034,0.5029730796813965,0.022400669753551483,0.05215674266219139,0.0,0.0,0.0,0.42246949672698975
Miyazaki94,1,FAABE_FULL,0.3192482888698578,0.5712239146232605,0.0,0.0,0.0007675915840081871,0.021412640810012817,0.0,0.4065958559513092
Miyazaki94,2,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,2,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,2,FAABE_NO_PEARSON,0.3415915369987488,0.29702773690223694,0.5540404915809631,0.0,0.045115161687135696,0.0,0.0,0.10381662100553513
Miyazaki94,2,FAABE_NO_IWM,0.34495434165000916,0.28613966703414917,0.5747160315513611,0.0,0.061875391751527786,0.0029466135893017054,0.0,0.07432225346565247
Miyazaki94,2,FAABE_FULL,0.3574770390987396,0.5196138024330139,0.0,0.0,0.010508524253964424,0.147661492228508,0.0,0.3222162425518036
Miyazaki94,3,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,3,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,3,FAABE_NO_PEARSON,0.3698199391365051,0.44168737530708313,0.10511252284049988,0.0,0.12525998055934906,0.12711109220981598,0.0,0.20082902908325195
Miyazaki94,3,FAABE_NO_IWM,0.3626123070716858,0.4971606731414795,0.09960931539535522,0.0,0.1589631736278534,0.1324058473110199,0.0,0.11186093091964722
Miyazaki94,3,FAABE_FULL,0.3598189353942871,0.3385506570339203,0.31607586145401,0.0,0.013505916111171246,0.19827048480510712,0.026138706132769585,0.10745839029550552
Miyazaki94,4,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,4,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,4,FAABE_NO_PEARSON,0.3364064693450928,0.4711988866329193,0.09351708739995956,0.0,0.21918630599975586,0.043026264756917953,0.0,0.17307154834270477
Miyazaki94,4,FAABE_NO_IWM,0.33224743604660034,0.7550519108772278,0.013331982307136059,0.0,0.0,0.11109381169080734,0.0,0.12052219361066818
Miyazaki94,4,FAABE_FULL,0.3380337655544281,0.6220648884773254,0.0,0.0,0.019216841086745262,0.15531261265277863,0.0,0.20340567827224731
Miyazaki94,5,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,5,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,5,FAABE_NO_PEARSON,0.39446887373924255,0.5575417876243591,0.03689296171069145,0.0,0.0,0.06909338384866714,0.0,0.33647194504737854
Miyazaki94,5,FAABE_NO_IWM,0.3960059881210327,0.2135225534439087,0.5495313405990601,0.0,0.0,0.0,0.0,0.23694616556167603
Miyazaki94,5,FAABE_FULL,0.39529794454574585,0.22296543419361115,0.5505926012992859,0.0,0.0,0.0,0.0,0.22644196450710297
Miyazaki94,6,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,6,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,6,FAABE_NO_PEARSON,0.34268391132354736,0.6333277225494385,0.1747814118862152,0.0,0.0,0.1388798952102661,0.0,0.0530109629034996
Miyazaki94,6,FAABE_NO_IWM,0.34769660234451294,0.6450939178466797,0.22111162543296814,0.01328655332326889,0.0,0.0,0.0,0.12050791829824448
Miyazaki94,6,FAABE_FULL,0.35741090774536133,0.5460029244422913,0.2237597107887268,0.02620564214885235,0.0,0.19003064930438995,0.014001099392771721,0.0
Miyazaki94,7,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,7,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,7,FAABE_NO_PEARSON,0.37358513474464417,0.6098352670669556,0.058632154017686844,0.0013202013215050101,0.06967554241418839,0.06382685154676437,0.0,0.19670997560024261
Miyazaki94,7,FAABE_NO_IWM,0.36787083745002747,0.48028701543807983,0.04715241864323616,0.04543949291110039,0.08575750887393951,0.10228703916072845,0.0,0.23907655477523804
Miyazaki94,7,FAABE_FULL,0.36779269576072693,0.5570372343063354,0.0548945851624012,0.02113056369125843,0.02969370409846306,0.09444274753332138,0.0,0.24280117452144623
Miyazaki94,8,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,8,FAABE_NO_FIREFLY,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Miyazaki94,8,FAABE_NO_PEARSON,0.3852168321609497,0.4632800817489624,0.10740125924348831,0.0,0.22295059263706207,0.08963004499673843,0.0,0.11673802137374878
Miyazaki94,8,FAABE_NO_IWM,0.3791855275630951,0.2188839614391327,0.29127779603004456,0.0,0.0,0.02583678811788559,0.0,0.46400147676467896
Miyazaki94,8,FAABE_FULL,0.387881875038147,0.5429974794387817,0.09180927276611328,0.0,0.2694109082221985,0.0912078395485878,0.0,0.004574493505060673
Miyazaki94,9,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
