Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
Albrecht,1,Input,0.860321685452209,0.860321685452209,True
Albrecht,1,Output,0.8288303338965987,0.8288303338965987,True
Albrecht,1,Inquiry,0.7432513697743448,0.7432513697743448,True
Albrecht,1,File,0.6425805213861164,0.6425805213861164,True
Albrecht,1,FPAdj,0.2843701165896522,0.2843701165896522,True
Albrecht,1,RawFPcounts,0.9405745208214704,0.9405745208214704,True
Albrecht,1,AdjFP,0.9263027711150189,0.9263027711150189,True
Albrecht,2,Input,0.6290599655119035,0.6290599655119035,True
Albrecht,2,Output,0.8764158953837714,0.8764158953837714,True
Albrecht,2,Inquiry,0.8530945922585157,0.8530945922585157,True
Albrecht,2,File,0.7920343432484593,0.7920343432484593,True
Albrecht,2,FPAdj,0.18821679796269414,0.18821679796269414,False
Albrecht,2,RawFPcounts,0.9524928671776143,0.9524928671776143,True
Albrecht,2,AdjFP,0.9457124409414479,0.9457124409414479,True
Albrecht,3,Input,0.25744495498736547,0.25744495498736547,True
Albrecht,3,Output,0.9419944738750353,0.9419944738750353,True
Albrecht,3,Inquiry,0.7623330910411571,0.7623330910411571,True
Albrecht,3,File,0.8430518072892296,0.8430518072892296,True
Albrecht,3,FPAdj,0.28255904218140704,0.28255904218140704,True
Albrecht,3,RawFPcounts,0.9475919251186734,0.9475919251186734,True
Albrecht,3,AdjFP,0.9197910812419139,0.9197910812419139,True
Albrecht,4,Input,0.6476436489077644,0.6476436489077644,True
Albrecht,4,Output,0.8778295662038076,0.8778295662038076,True
Albrecht,4,Inquiry,0.8481634281732655,0.8481634281732655,True
Albrecht,4,File,0.7703871651635984,0.7703871651635984,True
Albrecht,4,FPAdj,0.17673390673221248,0.17673390673221248,False
Albrecht,4,RawFPcounts,0.95043701392339,0.95043701392339,True
Albrecht,4,AdjFP,0.9351969922451394,0.9351969922451394,True
Albrecht,5,Input,0.6270636600797992,0.6270636600797992,True
Albrecht,5,Output,0.8788464756328254,0.8788464756328254,True
Albrecht,5,Inquiry,0.8489954037443173,0.8489954037443173,True
Albrecht,5,File,0.7638857626023421,0.7638857626023421,True
Albrecht,5,FPAdj,0.25082762480437365,0.25082762480437365,True
Albrecht,5,RawFPcounts,0.9502228240375039,0.9502228240375039,True
Albrecht,5,AdjFP,0.936313100951082,0.936313100951082,True
Albrecht,6,Input,0.6390386152894658,0.6390386152894658,True
Albrecht,6,Output,0.8747146863073766,0.8747146863073766,True
Albrecht,6,Inquiry,0.8620749141875623,0.8620749141875623,True
Albrecht,6,File,0.7668969833662002,0.7668969833662002,True
Albrecht,6,FPAdj,0.26335521482313234,0.26335521482313234,True
Albrecht,6,RawFPcounts,0.9580458083059344,0.9580458083059344,True
Albrecht,6,AdjFP,0.9445511440865044,0.9445511440865044,True
Albrecht,7,Input,0.621293713381748,0.621293713381748,True
Albrecht,7,Output,0.8739609617168663,0.8739609617168663,True
Albrecht,7,Inquiry,0.8523975602069851,0.8523975602069851,True
Albrecht,7,File,0.7764454514876327,0.7764454514876327,True
Albrecht,7,FPAdj,0.27577849068785026,0.27577849068785026,True
Albrecht,7,RawFPcounts,0.9509440053703943,0.9509440053703943,True
Albrecht,7,AdjFP,0.93623113566548,0.93623113566548,True
Albrecht,8,Input,0.6140646106889235,0.6140646106889235,True
Albrecht,8,Output,0.8742871098422608,0.8742871098422608,True
Albrecht,8,Inquiry,0.8434255004181297,0.8434255004181297,True
Albrecht,8,File,0.7584096096857097,0.7584096096857097,True
Albrecht,8,FPAdj,0.25832761289494,0.25832761289494,True
Albrecht,8,RawFPcounts,0.9505229481689457,0.9505229481689457,True
Albrecht,8,AdjFP,0.9340069253165715,0.9340069253165715,True
Albrecht,9,Input,0.6215838600869997,0.6215838600869997,True
Albrecht,9,Output,0.8747911944198624,0.8747911944198624,True
Albrecht,9,Inquiry,0.8664599225572933,0.8664599225572933,True
Albrecht,9,File,0.7563905416006774,0.7563905416006774,True
Albrecht,9,FPAdj,0.24887528631685055,0.24887528631685055,False
Albrecht,9,RawFPcounts,0.9502488184375615,0.9502488184375615,True
Albrecht,9,AdjFP,0.9347846116241669,0.9347846116241669,True
Albrecht,10,Input,0.6148974435354845,0.6148974435354845,True
Albrecht,10,Output,0.8674449766729956,0.8674449766729956,True
Albrecht,10,Inquiry,0.8681404868275591,0.8681404868275591,True
Albrecht,10,File,0.7362480619340181,0.7362480619340181,True
Albrecht,10,FPAdj,0.12957184089931695,0.12957184089931695,False
Albrecht,10,RawFPcounts,0.9472758692012011,0.9472758692012011,True
Albrecht,10,AdjFP,0.9366804126648738,0.9366804126648738,True
