Dataset,Fold,Variant,Training_MMRE,Input,Output,Inquiry,File,FPAdj,RawFPcounts,AdjFP
Albrecht,8,FAABE_FULL,0.5662141442298889,0.0,0.17047277092933655,0.5096756219863892,0.13990047574043274,0.10939774662256241,0.0,0.07055342942476273
Albrecht,9,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,9,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,9,FAABE_NO_PEARSON,0.6139792799949646,0.20196658372879028,0.15274927020072937,0.4771389067173004,0.111830934882164,0.05444391444325447,0.0018703826935961843,0.0
Albrecht,9,FAABE_NO_IWM,0.6260957717895508,0.14979222416877747,0.16712872684001923,0.6830791234970093,0.0,,0.0,0.0
Albrecht,9,FAABE_FULL,0.6246218681335449,0.1303490251302719,0.13295546174049377,0.6702625751495361,0.0,,0.06643292307853699,0.0
Albrecht,10,ABE_BASE,,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548
Albrecht,10,FAABE_NO_FIREFLY,,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,,0.1666666716337204,0.1666666716337204
Albrecht,10,FAABE_NO_PEARSON,0.5380395650863647,0.06439083814620972,0.1951473504304886,0.5795556306838989,0.12227266281843185,0.03863353654742241,0.0,0.0
Albrecht,10,FAABE_NO_IWM,0.639255702495575,0.14299938082695007,0.1359652727842331,0.08010412752628326,0.3813907504081726,,0.0,0.25954049825668335
Albrecht,10,FAABE_FULL,0.6245545744895935,0.15757998824119568,0.20540353655815125,0.6069636344909668,0.03005286678671837,,0.0,0.0
