MMRE_Rank,Dataset,Variant,N_Projects,MMRE,MAE,MSE,RMSE
1,Kemerer,FAABE_NO_FIREFLY,15,0.613218082119333,121.57362097167969,56555.13949643262,237.81324499790296
2,Kemerer,FAABE_FULL,15,0.6438290529674404,128.9525114542643,57263.65559168945,239.29825655798132
3,Kemerer,FAABE_NO_IWM,15,0.6480913899367946,126.48288926188151,57069.538159015436,238.8923149852574
4,Kemerer,FAABE_NO_PEARSON,15,0.680394777593395,132.25090175374348,57874.549724872595,240.5712986307232
5,Kemerer,ABE_BASE,15,0.7012345070066297,128.71383957926432,57916.42431391643,240.65831445000282
