Dataset,Fold,Feature,Pearson_r,Abs_Pearson_r,Selected
Kemerer,1,Language,-0.2606683019289411,0.2606683019289411,True
Kemerer,1,Hardware,0.03646961968260619,0.03646961968260619,False
Kemerer,1,Duration,0.22955384135095241,0.22955384135095241,False
Kemerer,1,KSLOC,0.7250301865799187,0.7250301865799187,True
Kemerer,1,AdjFP,0.7754806516020165,0.7754806516020165,True
Kemerer,1,RAWFP,0.7670737505570567,0.7670737505570567,True
Kemerer,2,Language,-0.2321329682295356,0.2321329682295356,False
Kemerer,2,Hardware,0.09528918950469752,0.09528918950469752,False
Kemerer,2,Duration,0.22125854952333865,0.22125854952333865,False
Kemerer,2,KSLOC,0.7233169086783936,0.7233169086783936,True
Kemerer,2,AdjFP,0.7692010664057848,0.7692010664057848,True
Kemerer,2,RAWFP,0.7633817540761609,0.7633817540761609,True
Kemerer,3,Language,-0.2738775271018922,0.2738775271018922,True
Kemerer,3,Hardware,0.08802969340691981,0.08802969340691981,False
Kemerer,3,Duration,0.18056434181560382,0.18056434181560382,False
Kemerer,3,KSLOC,0.7617307616431095,0.7617307616431095,True
Kemerer,3,AdjFP,0.8311297107624722,0.8311297107624722,True
Kemerer,3,RAWFP,0.8140345225213437,0.8140345225213437,True
Kemerer,4,Language,-0.45074853626444117,0.45074853626444117,True
Kemerer,4,Hardware,-0.11628449803351275,0.11628449803351275,False
Kemerer,4,Duration,0.5159283372711794,0.5159283372711794,True
Kemerer,4,KSLOC,0.7289074352711378,0.7289074352711378,True
Kemerer,4,AdjFP,0.661272103299022,0.661272103299022,True
Kemerer,4,RAWFP,0.6715300998674278,0.6715300998674278,True
Kemerer,5,Language,-0.21396481248996493,0.21396481248996493,False
Kemerer,5,Hardware,0.041393254396428686,0.041393254396428686,False
Kemerer,5,Duration,0.2274584580453474,0.2274584580453474,False
Kemerer,5,KSLOC,0.7781590640770727,0.7781590640770727,True
Kemerer,5,AdjFP,0.774457071903696,0.774457071903696,True
Kemerer,5,RAWFP,0.7665840858211131,0.7665840858211131,True
Kemerer,6,Language,-0.25118408453150637,0.25118408453150637,True
Kemerer,6,Hardware,0.06133833518529847,0.06133833518529847,False
Kemerer,6,Duration,0.2103824176832991,0.2103824176832991,False
Kemerer,6,KSLOC,0.7284463547962737,0.7284463547962737,True
Kemerer,6,AdjFP,0.767643352792422,0.767643352792422,True
Kemerer,6,RAWFP,0.7590109703928263,0.7590109703928263,True
Kemerer,7,Language,-0.23689471312691715,0.23689471312691715,False
Kemerer,7,Hardware,0.07721096683208674,0.07721096683208674,False
Kemerer,7,Duration,0.22151273342595013,0.22151273342595013,False
Kemerer,7,KSLOC,0.7241922843181643,0.7241922843181643,True
Kemerer,7,AdjFP,0.7863850148494091,0.7863850148494091,True
Kemerer,7,RAWFP,0.7759473565114827,0.7759473565114827,True
Kemerer,8,Language,-0.24782953778419683,0.24782953778419683,False
Kemerer,8,Hardware,0.13310583815003707,0.13310583815003707,False
Kemerer,8,Duration,0.23875369518031983,0.23875369518031983,False
Kemerer,8,KSLOC,0.7215947152611093,0.7215947152611093,True
Kemerer,8,AdjFP,0.7647397061144321,0.7647397061144321,True
Kemerer,8,RAWFP,0.75513744235401,0.75513744235401,True
Kemerer,9,Language,-0.25711187445477174,0.25711187445477174,True
Kemerer,9,Hardware,0.036744184543378355,0.036744184543378355,False
Kemerer,9,Duration,0.24283600136165093,0.24283600136165093,False
Kemerer,9,KSLOC,0.7386246319510739,0.7386246319510739,True
Kemerer,9,AdjFP,0.7618976286489224,0.7618976286489224,True
Kemerer,9,RAWFP,0.7566167612306173,0.7566167612306173,True
Kemerer,10,Language,-0.17600878114199292,0.17600878114199292,False
Kemerer,10,Hardware,0.13056987904436698,0.13056987904436698,False
Kemerer,10,Duration,0.16201609714466217,0.16201609714466217,False
Kemerer,10,KSLOC,0.7076145650665896,0.7076145650665896,True
Kemerer,10,AdjFP,0.7637417725241464,0.7637417725241464,True
Kemerer,10,RAWFP,0.7525542013981862,0.7525542013981862,True
