Dataset,Fold,Train_N,Test_N,Selected_Feature_Count,Selected_Features,ABE_BASE_MMRE,ABE_BASE_MAE,ABE_BASE_MSE,ABE_BASE_RMSE,ABE_BASE_Training_MMRE,FAABE_NO_PEARSON_MMRE,FAABE_NO_PEARSON_MAE,FAABE_NO_PEARSON_MSE,FAABE_NO_PEARSON_RMSE,FAABE_NO_PEARSON_Training_MMRE,FAABE_NO_FIREFLY_MMRE,FAABE_NO_FIREFLY_MAE,FAABE_NO_FIREFLY_MSE,FAABE_NO_FIREFLY_RMSE,FAABE_NO_FIREFLY_Training_MMRE,FAABE_NO_IWM_MMRE,FAABE_NO_IWM_MAE,FAABE_NO_IWM_MSE,FAABE_NO_IWM_RMSE,FAABE_NO_IWM_Training_MMRE,FAABE_FULL_MMRE,FAABE_FULL_MAE,FAABE_FULL_MSE,FAABE_FULL_RMSE,FAABE_FULL_Training_MMRE
Kitchenham,1,130,15,3,"Actual.duration,Adjusted.function.points,First.estimate",0.3615434256054296,502.6067850748698,390012.84351927915,624.5100828003333,,0.3143260731527628,499.35304361979166,564092.6825320175,751.0610378205073,0.25944003462791443,0.3615434256054296,502.6067850748698,390012.84351927915,624.5100828003333,,0.3260323532946575,536.2444458007812,591986.500909655,769.4065901132216,0.25834670662879944,0.32897529805723275,464.4097412109375,377331.00444320985,614.2727443434308,0.26120811700820923
Kitchenham,2,130,15,3,"Actual.duration,Adjusted.function.points,First.estimate",0.691516311491965,7518.864957682292,667613095.3927201,25838.209988169074,,0.35334770144416294,7279.900927734375,688160046.178786,26232.804771483854,0.24824941158294678,0.691516311491965,7518.864957682292,667613095.3927201,25838.209988169074,,0.35367594123590607,7285.666674804687,688752845.9119899,26244.101164109048,0.24768008291721344,0.35252681763829075,7279.595686848958,688159463.5766423,26232.79366702377,0.24809101223945618
Kitchenham,3,130,15,3,"Actual.duration,Adjusted.function.points,First.estimate",0.5989740183291828,744.5811096191406,1353989.4227556465,1163.610511621327,,0.24693031334360002,343.4658732096354,320521.75453760015,566.1464073343574,0.2688494026660919,0.5989740183291828,744.5811096191406,1353989.4227556465,1163.610511621327,,0.23470693179629157,295.8222900390625,284862.3937143002,533.7250169462737,0.26725614070892334,0.23049072687466365,311.0768290201823,254659.26290838775,504.6377541448794,0.2698260545730591
Kitchenham,4,130,15,3,"Actual.duration,Adjusted.function.points,First.estimate",0.32313910645618577,896.8631713867187,2526488.650381147,1589.4932055158797,,0.2900960740390737,822.4843973795573,1415635.2749814573,1189.8047213645848,0.2570459246635437,0.32313910645618577,896.8631713867187,2526488.650381147,1589.4932055158797,,0.2872573460921491,789.9555236816407,1372829.790697811,1171.6781941718516,0.25399768352508545,0.3185452988127361,926.0406372070313,1912388.1572277786,1382.8912311630943,0.25491443276405334
Kitchenham,5,130,15,3,"Actual.duration,Adjusted.function.points,First.estimate",0.34003222592232035,653.3903869628906,1013838.0245725127,1006.8952401181132,,0.18943686511357385,354.5270100911458,332380.37187553593,576.524389662342,0.26974156498908997,0.34003222592232035,653.3903869628906,1013838.0245725127,1006.8952401181132,,0.19577850190442525,353.97777506510414,255081.61998607864,505.05605628096237,0.2693888545036316,0.21990281433713216,375.37822265625,338892.1822664912,582.1444685526877,0.2692943811416626
Kitchenham,6,131,14,3,"Actual.duration,Adjusted.function.points,First.estimate",0.22511339608890132,539.8548932756696,1444876.499152169,1202.0301573388952,,0.1808908438748542,354.3949933733259,599154.4525389464,774.0506782756194,0.2756832242012024,0.22511339608890132,539.8548932756696,1444876.499152169,1202.0301573388952,,0.20072941117758303,444.95239693777904,937104.4960036615,968.0415776213651,0.27211499214172363,0.19340135898919517,438.71399361746654,950258.8437483627,974.812209478504,0.27350401878356934
Kitchenham,7,131,14,3,"Actual.duration,Adjusted.function.points,First.estimate",1.075480792572845,1582.9867292131696,10334460.963468896,3214.725643576586,,0.3652024369555815,931.8443123953683,3570237.796233259,1889.50728927762,0.2585907578468323,1.075480792572845,1582.9867292131696,10334460.963468896,3214.725643576586,,0.3750625709263087,945.2857012067523,3722227.5703958306,1929.307536500034,0.2595974802970886,0.3651607775421577,930.2714974539621,3553906.724545481,1885.1808201192482,0.25882256031036377
Kitchenham,8,131,14,3,"Actual.duration,Adjusted.function.points,First.estimate",0.7290840617741893,1407.9887215750557,6655933.18628945,2579.9095306404547,,0.2922072242212939,807.8689531598773,1707700.1117790907,1306.7900029381503,0.2638798952102661,0.7290840617741893,1407.9887215750557,6655933.18628945,2579.9095306404547,,0.3004204475498433,844.5953238351004,1893986.9448688363,1376.2219824101185,0.2609638273715973,0.2843846266456851,797.7108394077846,1707113.4539962548,1306.5655184476034,0.26399290561676025
Kitchenham,9,131,14,3,"Actual.duration,Adjusted.function.points,First.estimate",0.35428367663978205,752.3349217006138,1204217.9506024811,1097.368648450684,,0.16004372641006256,309.83285086495533,260371.17663460545,510.26579018645316,0.27384379506111145,0.35428367663978205,752.3349217006138,1204217.9506024811,1097.368648450684,,0.16835902030254313,317.5476292201451,264681.5531083423,514.4721111084082,0.2728550136089325,0.1765478103725711,316.5035727364676,248898.04638677152,498.89682940140193,0.2737062871456146
Kitchenham,10,131,14,3,"Actual.duration,Adjusted.function.points,First.estimate",0.5424713982439973,630.9727783203125,622181.180788261,788.7846225607223,,0.310654537223931,573.7212219238281,1290415.5520388188,1135.9645910145346,0.2560843527317047,0.5424713982439973,630.9727783203125,622181.180788261,788.7846225607223,,0.2933405150602389,548.7857491629464,1332611.700746576,1154.3880200117187,0.25305694341659546,0.29631052166974203,550.17038835798,1277453.3391372277,1130.2448138068264,0.2564692497253418
