MMRE_Rank,Dataset,Variant,N_Projects,MMRE,MAE,MSE,RMSE
1,Kitchenham,FAABE_NO_PEARSON,145,0.27060715977929467,1249.539596031452,72178485.87027475,8495.792245004273
2,Kitchenham,FAABE_NO_IWM,145,0.2737416112074667,1257.5264541099812,72296363.2066979,8502.726810070866
3,Kitchenham,FAABE_FULL,145,0.2770888666818741,1260.7910402495286,72234260.95490842,8499.07412339182
4,Kitchenham,ABE_BASE,145,0.5220561577348432,1541.6726122625944,71566377.53057553,8459.691337783875
5,Kitchenham,FAABE_NO_FIREFLY,145,0.5220561577348432,1541.6726122625944,71566377.53057553,8459.691337783875
