Dataset,Fold,Method,Iteration,Best_Training_MMRE,Fitness_Evaluations
COCOMO81,1,PSO-ABE,9,1.5334135293960571,100
COCOMO81,1,PSO-ABE,10,1.5334135293960571,110
COCOMO81,1,PSO-ABE,11,1.5319715738296509,120
COCOMO81,1,PSO-ABE,12,1.5319715738296509,130
COCOMO81,1,PSO-ABE,13,1.5319715738296509,140
COCOMO81,1,PSO-ABE,14,1.5319715738296509,150
COCOMO81,1,PSO-ABE,15,1.5319715738296509,160
COCOMO81,1,PSO-ABE,16,1.5319715738296509,170
COCOMO81,1,PSO-ABE,17,1.5319715738296509,180
COCOMO81,1,PSO-ABE,18,1.5310285091400146,190
COCOMO81,1,PSO-ABE,19,1.5310285091400146,200
COCOMO81,1,PSO-ABE,20,1.530701756477356,210
COCOMO81,1,PSO-ABE,21,1.530701756477356,220
COCOMO81,1,PSO-ABE,22,1.5295063257217407,230
COCOMO81,1,PSO-ABE,23,1.525976300239563,240
COCOMO81,1,PSO-ABE,24,1.525976300239563,250
COCOMO81,1,PSO-ABE,25,1.525976300239563,260
COCOMO81,1,PSO-ABE,26,1.525976300239563,270
COCOMO81,1,PSO-ABE,27,1.525976300239563,280
COCOMO81,1,PSO-ABE,28,1.525976300239563,290
COCOMO81,1,PSO-ABE,29,1.525976300239563,300
COCOMO81,1,PSO-ABE,30,1.525976300239563,310
COCOMO81,1,PSO-ABE,31,1.5254871845245361,320
COCOMO81,1,PSO-ABE,32,1.523294448852539,330
COCOMO81,1,PSO-ABE,33,1.523294448852539,340
COCOMO81,1,PSO-ABE,34,1.523294448852539,350
COCOMO81,1,PSO-ABE,35,1.523294448852539,360
COCOMO81,1,PSO-ABE,36,1.522724986076355,370
COCOMO81,1,PSO-ABE,37,1.5207324028015137,380
COCOMO81,1,PSO-ABE,38,1.5207324028015137,390
COCOMO81,1,PSO-ABE,39,1.510140061378479,400
COCOMO81,1,PSO-ABE,40,1.510140061378479,410
COCOMO81,1,PSO-ABE,41,1.510140061378479,420
COCOMO81,1,PSO-ABE,42,1.510140061378479,430
COCOMO81,1,PSO-ABE,43,1.5087629556655884,440
COCOMO81,1,PSO-ABE,44,1.5049282312393188,450
COCOMO81,1,PSO-ABE,45,1.5049282312393188,460
COCOMO81,1,PSO-ABE,46,1.5049282312393188,470
COCOMO81,1,PSO-ABE,47,1.5049282312393188,480
COCOMO81,1,PSO-ABE,48,1.5049282312393188,490
COCOMO81,1,PSO-ABE,49,1.5046581029891968,500
COCOMO81,1,PSO-ABE,50,1.468004822731018,510
COCOMO81,1,PSO-ABE,51,1.468004822731018,520
COCOMO81,1,PSO-ABE,52,1.468004822731018,530
COCOMO81,1,PSO-ABE,53,1.468004822731018,540
COCOMO81,1,PSO-ABE,54,1.468004822731018,550
COCOMO81,1,PSO-ABE,55,1.457052230834961,560
COCOMO81,1,PSO-ABE,56,1.457052230834961,570
COCOMO81,1,PSO-ABE,57,1.457052230834961,580
COCOMO81,1,PSO-ABE,58,1.457052230834961,590
COCOMO81,1,PSO-ABE,59,1.455411434173584,600
COCOMO81,1,PSO-ABE,60,1.455411434173584,610
COCOMO81,1,PSO-ABE,61,1.455411434173584,620
COCOMO81,1,PSO-ABE,62,1.455411434173584,630
COCOMO81,1,PSO-ABE,63,1.455411434173584,640
COCOMO81,1,PSO-ABE,64,1.455411434173584,650
COCOMO81,1,PSO-ABE,65,1.455411434173584,660
COCOMO81,1,PSO-ABE,66,1.455411434173584,670
COCOMO81,1,PSO-ABE,67,1.455411434173584,680
COCOMO81,1,PSO-ABE,68,1.455411434173584,690
COCOMO81,1,PSO-ABE,69,1.455411434173584,700
COCOMO81,1,PSO-ABE,70,1.455411434173584,710
COCOMO81,1,PSO-ABE,71,1.455411434173584,720
COCOMO81,1,PSO-ABE,72,1.455411434173584,730
COCOMO81,1,PSO-ABE,73,1.455411434173584,740
COCOMO81,1,PSO-ABE,74,1.455411434173584,750
COCOMO81,1,PSO-ABE,75,1.455411434173584,760
COCOMO81,1,PSO-ABE,76,1.455411434173584,770
COCOMO81,1,PSO-ABE,77,1.455411434173584,780
COCOMO81,1,PSO-ABE,78,1.455411434173584,790
COCOMO81,1,PSO-ABE,79,1.4551887512207031,800
COCOMO81,1,PSO-ABE,80,1.4549365043640137,810
COCOMO81,1,PSO-ABE,81,1.452805519104004,820
COCOMO81,1,PSO-ABE,82,1.452805519104004,830
COCOMO81,1,PSO-ABE,83,1.4527636766433716,840
COCOMO81,1,PSO-ABE,84,1.4527636766433716,850
COCOMO81,1,PSO-ABE,85,1.4525572061538696,860
COCOMO81,1,PSO-ABE,86,1.4518523216247559,870
COCOMO81,1,PSO-ABE,87,1.4513287544250488,880
COCOMO81,1,PSO-ABE,88,1.450941801071167,890
COCOMO81,1,PSO-ABE,89,1.4506568908691406,900
COCOMO81,1,PSO-ABE,90,1.4504472017288208,910
COCOMO81,1,PSO-ABE,91,1.450293779373169,920
COCOMO81,1,PSO-ABE,92,1.4501813650131226,930
COCOMO81,1,PSO-ABE,93,1.4486089944839478,940
COCOMO81,1,PSO-ABE,94,1.4486089944839478,950
COCOMO81,1,PSO-ABE,95,1.4486089944839478,960
COCOMO81,1,PSO-ABE,96,1.4486089944839478,970
COCOMO81,1,PSO-ABE,97,1.4486089944839478,980
COCOMO81,1,PSO-ABE,98,1.4486089944839478,990
