MMRE_Rank,Dataset,Variant,N_Projects,MMRE,MAE,MSE,RMSE
1,COCOMO81,FAABE_NO_IWM,64,1.4714070011269444,605.5608383825287,2417776.2064676415,1554.9200000217509
2,COCOMO81,FAABE_NO_PEARSON,64,1.5187873400360985,537.2218918928638,2186148.5335815707,1478.5629961491566
3,COCOMO81,FAABE_FULL,64,2.245027397292537,713.2375595977768,3247327.8501569186,1802.0343643107694
4,COCOMO81,FAABE_NO_FIREFLY,64,2.7508646175535842,697.6344315984979,3062621.8349595056,1750.034809642227
5,COCOMO81,ABE_BASE,64,3.3019392195268757,582.8106139877573,2299390.357887581,1516.3740824373058
