MMRE_Rank,Dataset,Variant,N_Projects,MMRE,MAE,MSE,RMSE
1,Maxwell,FAABE_NO_IWM,62,0.4629991217300115,3130.3870957897557,34393177.98947805,5864.569719039757
2,Maxwell,FAABE_FULL,62,0.46466399855910445,2854.5099310105848,29627546.862780966,5443.119221804807
3,Maxwell,FAABE_NO_PEARSON,62,0.6679390291499081,3863.2092521421373,49472486.70320771,7033.668083099153
4,Maxwell,FAABE_NO_FIREFLY,62,0.7976828195705051,4308.216974073841,65962163.351933174,8121.709386079581
5,Maxwell,ABE_BASE,62,0.9083350610818415,5418.709226546749,100367262.42961915,10018.346292159158
