Dataset,Fold,Method,Training_MMRE,Fitness_Evaluations,Language,KSLOC,AdjFP,RAWFP,Duration
Kemerer,1,ABE,,0,0.25,0.25,0.25,0.25,
Kemerer,1,GA-ABE,0.5531197786331177,1000,0.15643930435180664,0.3797445297241211,0.46381622552871704,0.0,
Kemerer,1,PSO-ABE,0.5523149371147156,1000,0.14026996493339539,0.394544780254364,0.4651852548122406,0.0,
Kemerer,1,DE-ABE,0.552726149559021,1000,0.149410218000412,0.38329029083251953,0.46729761362075806,1.8423513665766222e-06,
Kemerer,1,GWO-ABE,0.5687094926834106,1000,0.14566031098365784,0.4895756244659424,0.3607204854488373,0.004043589346110821,
Kemerer,1,WOA-ABE,0.5627133846282959,1000,0.10340060293674469,0.5841602087020874,0.3124392330646515,0.0,
Kemerer,1,FAABE,0.5529659986495972,1000,0.15070681273937225,0.3851931691169739,0.4601052701473236,0.00399472052231431,
Kemerer,2,ABE,,0,,0.3333333432674408,0.3333333432674408,0.3333333432674408,
Kemerer,2,GA-ABE,0.5556530356407166,1000,,0.6540815830230713,0.0,0.3459184169769287,
Kemerer,2,PSO-ABE,0.5556118488311768,1000,,0.6536496877670288,0.0,0.34635037183761597,
Kemerer,2,DE-ABE,0.5606048703193665,1000,,0.6800578236579895,0.273377001285553,0.04656524211168289,
Kemerer,2,GWO-ABE,0.6060997843742371,1000,,0.0,0.0,1.0,
Kemerer,2,WOA-ABE,0.5788819789886475,1000,,0.08026418089866638,0.0,0.919735848903656,
Kemerer,2,FAABE,0.5789272785186768,1000,,0.08055931329727173,0.0,0.919440746307373,
Kemerer,3,ABE,,0,0.25,0.25,0.25,0.25,
Kemerer,3,GA-ABE,0.5443123579025269,1000,0.04574046656489372,0.5532697439193726,0.40098974108695984,0.0,
Kemerer,3,PSO-ABE,0.544292688369751,1000,0.04472748190164566,0.5502082705497742,0.4050642251968384,0.0,
Kemerer,3,DE-ABE,0.5655136108398438,1000,0.1744534969329834,0.5745890140533447,0.23022370040416718,0.02073380909860134,
Kemerer,3,GWO-ABE,0.5443971753120422,1000,0.04885140433907509,0.562250554561615,0.3885057866573334,0.00039219771861098707,
Kemerer,3,WOA-ABE,0.5443192720413208,1000,0.044196199625730515,0.5485996007919312,0.40385475754737854,0.003349489299580455,
Kemerer,3,FAABE,0.5445504188537598,1000,0.07559388875961304,0.47955888509750366,0.4448471963405609,0.0,
Kemerer,4,ABE,,0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224
Kemerer,4,GA-ABE,0.5249055027961731,1000,0.12941573560237885,0.8142716884613037,0.054570868611335754,0.0,0.0017417020862922072
Kemerer,4,PSO-ABE,0.5050644278526306,1000,0.2695452570915222,0.4135541617870331,0.23262356221675873,0.0,0.08427701890468597
Kemerer,4,DE-ABE,0.5052869915962219,1000,0.29602688550949097,0.3969387412071228,0.22350716590881348,1.7846969058155082e-06,0.08352547138929367
Kemerer,4,GWO-ABE,0.5256309509277344,1000,0.13314448297023773,0.8085790276527405,0.05417196825146675,0.0005465518333949149,0.003557939315214753
Kemerer,4,WOA-ABE,0.5291104912757874,1000,0.1427082121372223,0.8572917580604553,0.0,0.0,0.0
Kemerer,4,FAABE,0.5065586566925049,1000,0.19889913499355316,0.4355713427066803,0.2624412477016449,0.0,0.10308828204870224
Kemerer,5,ABE,,0,,0.3333333432674408,0.3333333432674408,0.3333333432674408,
Kemerer,5,GA-ABE,0.5656648874282837,1000,,0.4512726664543152,0.46874159574508667,0.07998577505350113,
Kemerer,5,PSO-ABE,0.5663375854492188,1000,,0.45982733368873596,0.5401726961135864,0.0,
Kemerer,5,DE-ABE,0.5656660199165344,1000,,0.45151829719543457,0.46927106380462646,0.07921061664819717,
Kemerer,5,GWO-ABE,0.5658261179924011,1000,,0.4535454213619232,0.48608681559562683,0.060367755591869354,
Kemerer,5,WOA-ABE,0.5656523108482361,1000,,0.4512975215911865,0.4677405059337616,0.08096199482679367,
Kemerer,5,FAABE,0.5657371878623962,1000,,0.4524146020412445,0.4767168462276459,0.07086852192878723,
Kemerer,6,ABE,,0,0.25,0.25,0.25,0.25,
Kemerer,6,GA-ABE,0.596973180770874,1000,0.14892832934856415,0.4557337760925293,0.24397778511047363,0.15136012434959412,
Kemerer,6,PSO-ABE,0.5950836539268494,1000,0.14642244577407837,0.4543379843235016,0.30633556842803955,0.0929040014743805,
Kemerer,6,DE-ABE,0.5956670045852661,1000,0.14600113034248352,0.4524672329425812,0.2811119556427002,0.12041975557804108,
Kemerer,6,GWO-ABE,0.5976026058197021,1000,0.14238758385181427,0.46191781759262085,0.3713558614253998,0.02433871105313301,
Kemerer,6,WOA-ABE,0.5952872037887573,1000,0.14630091190338135,0.4536673128604889,0.297465056180954,0.10256673395633698,
Kemerer,6,FAABE,0.5968593955039978,1000,0.14569784700870514,0.4636566936969757,0.39064544439315796,0.0,
Kemerer,7,ABE,,0,,0.3333333432674408,0.3333333432674408,0.3333333432674408,
